---------------------
  #    meV     cm^-1
---------------------
  0    4.1i     32.9i
  1    7.6      61.1
  2    8.4      67.4
  3    9.8      79.3
  4   10.7      85.9
  5   11.9      95.8
  6   20.9     168.8
  7   21.5     173.1
  8   22.6     182.0
  9   24.1     194.5
 10   24.9     200.6
 11   25.6     206.6
 12   31.4     253.5
 13   32.8     264.8
 14   33.1     267.2
 15   36.3     292.9
 16   37.0     298.2
 17   37.4     301.6
 18   43.7     352.6
 19   43.8     353.2
 20   44.0     354.7
 21   44.0     354.9
 22   44.6     359.5
 23   44.7     360.9
 24   46.7     376.7
 25   46.9     378.0
 26   47.3     381.6
 27   51.1     412.5
 28   51.6     416.2
 29   52.2     420.7
 30  230.6    1859.6
 31  230.9    1862.6
 32  232.0    1871.5
 33  234.1    1888.0
 34  234.3    1889.6
 35  240.3    1938.5
---------------------
Zero-point energy: 1.179 eV
