---------------------
  #    meV     cm^-1
---------------------
  0   33.7i    271.8i
  1    4.7      37.7
  2    6.1      49.3
  3    9.2      74.3
  4    9.8      79.2
  5   10.9      87.8
  6   19.8     159.3
  7   22.4     180.9
  8   24.1     194.4
  9   25.3     203.7
 10   31.3     252.9
 11   33.9     273.5
 12   34.2     275.6
 13   37.9     305.9
 14   38.2     308.1
 15   39.8     320.8
 16   40.6     327.8
 17   43.5     350.8
 18   44.0     355.1
 19   44.3     357.5
 20   44.7     360.1
 21   47.8     385.6
 22   47.9     386.3
 23   52.6     423.9
 24   53.0     427.6
 25  229.8    1853.5
 26  230.7    1860.7
 27  231.1    1863.6
 28  233.8    1885.7
 29  242.6    1957.0
---------------------
Zero-point energy: 0.967 eV
