---------------------
  #    meV     cm^-1
---------------------
  0    3.7i     29.4i
  1    7.7      62.3
  2   12.5     100.6
  3   16.0     129.3
  4   20.2     163.1
  5   22.6     182.6
  6   23.7     191.2
  7   25.1     202.5
  8   25.8     208.3
  9   28.6     230.8
 10   29.2     235.5
 11   32.0     258.0
 12   33.0     266.0
 13   34.2     276.1
 14   37.1     299.2
 15   39.2     315.8
 16   39.6     319.0
 17   40.1     323.3
 18   40.7     328.0
 19   42.1     339.5
 20   42.8     345.0
 21   45.5     366.8
 22   47.1     379.9
 23   48.4     390.7
 24   48.7     393.2
 25   50.5     407.4
 26   52.0     419.7
 27   55.9     450.5
 28   55.9     450.8
 29   57.5     464.1
 30  202.4    1632.5
 31  220.9    1782.0
 32  222.7    1796.5
 33  236.9    1910.8
 34  238.5    1923.6
 35  244.6    1972.5
---------------------
Zero-point energy: 1.210 eV
