dH	delta_dH
-441.99775398376437	10.088135873763463
-419.8314682154512	-12.07814989454971
-424.1587828099613	-7.7508353000396255
-456.72684923340125	24.817231123400347
-419.5291293866328	-12.380488723368103
-415.2099495010168	-16.699668608984098
-415.8152283755833	-16.094389734417632
-421.5936490408319	-10.315969069169
-384.4448195417451	-47.46479856825579
-412.65131090048885	-19.258307209512054
-422.59355042591847	-9.31606768408244
-466.81119104877394	34.90157293877303
-416.39641206087185	-15.513206049129053
-460.49547262138844	28.585854511387538
-416.23253258819136	-15.677085521809545
-427.38267973868756	-4.526938371313349
-423.21546151192183	-8.694156598079076
-432.58697442903303	0.6773563190321283
-381.5006779460866	-50.40894016391428
-394.1882230829517	-37.7213950270492
-453.2262220882851	21.316603978284206
-451.32629043131806	19.41667232131715
-420.44268990391106	-11.466928206089847
-406.91325255792526	-24.996365552075645
-440.02025080729277	8.110632697291862
-425.4263510169478	-6.483267093053087
-450.5047796964802	18.59516158647932
-448.9246919637874	17.015073853786475
-423.2707093106876	-8.638908799313299
-453.90448498581213	21.994866875811226
-428.89630437841083	-3.013313731590074
-435.7502308462432	3.840612736242292
-458.0679747167717	26.15835660677078
-452.71553168174546	20.805913571744554
-420.3739542086689	-11.535663901331986
-389.9602670799443	-41.94935103005662
-418.16145818731206	-13.748159922688842
-469.55970994042696	37.65009183042605
-399.58128758187127	-32.32833052812964
-434.6836691692017	2.774051059200815
-455.11787836995904	23.208260259958138
-431.17075019262234	-0.7388679173785704
-420.5098482885935	-11.399769821407403
-415.28148655673	-16.62813155327092
-421.39053985039686	-10.519078259604044
-392.98112605135543	-38.928492058645475
-407.90418785308543	-24.005430256915474
-428.64445747031755	-3.2651606396833586
-424.98225770762133	-6.927360402379577
-434.68759461108607	2.7779765010851634
-470.4466453275138	38.5370272175129
-451.3386189469759	19.42900083697498
-417.38812102614907	-14.521497083851841
-433.67800941469363	1.7683913046927273
-435.35519845444037	3.4455803444394633
-444.583521876609	12.673903766608078
-419.9897201873839	-11.919897922616997
-476.027058043642	44.117439933641094
-449.5320738690946	17.62245575909367
-434.56866437882604	2.6590462688251364
-438.9805074419139	7.070889331913008
-429.9186491716912	-1.9909689383097202
-433.87691204066255	1.96729393066164
-425.6452063496454	-6.264411760355529
-449.13712295550454	17.22750484550363
-417.15606656056593	-14.753551549434974
-383.18105554458566	-48.728562565415245
-441.5914111337527	9.681793023751766
-440.4749002733299	8.565282163329016
-382.96469833296555	-48.94491977703535
-440.119829270335	8.210211160334097
-446.8973129707749	14.987694860774013
-414.95255268396727	-16.957065426033637
-455.21042229087584	23.300804180874934
-418.47903154794153	-13.430586562059375
-422.5371789065605	-9.372439203440422
-443.48293626721807	11.573318157217159
-412.2325013622367	-19.677116747764217
-429.0053064808917	-2.904311629109202
-425.5893817482838	-6.320236361717093
-422.2320882119293	-9.677529898071612
-446.8097989294847	14.900180819483808
-395.73841156262733	-36.17120654737357
-448.7230638180197	16.813445708018776
-453.9857083761642	22.076090266163305
-414.0895914991188	-17.82002661088211
-453.90673382561454	21.99711571561363
-432.0471138826115	0.13749577261057766
-410.18827964433785	-21.721338465663052
-419.06186982017334	-12.847748289827564
-417.7581216681938	-14.151496441807126
-468.98201556415825	37.07239745415734
-438.3569713492386	6.447353239237714
-410.75098991700247	-21.158628192998435
-436.5197326967548	4.610114586753866
-409.4309117737455	-22.478706336255414
-440.39554518611726	8.485927076116354
-463.03577414234564	31.12615603234474
-453.0971039387864	21.187485828785498
-425.070089063737	-6.8395290462639196
-434.2023623767916	2.2927442667906917
-420.00624621990096	-11.903371890099947
-420.2159802614758	-11.6936378485251
-396.2003617872167	-35.7092563227842
-468.9858062568153	37.07618814681439
-430.490826367876	-1.4187917421248812
-428.7866543463631	-3.122963763637813
-453.9882008068587	22.07858269685778
-408.9517864687257	-22.95783164127522
-453.58998791890076	21.680369808899854
-433.0248397667881	1.1152216567871847
-432.80375033930136	0.8941322293004532
-454.8027063741381	22.89308826413719
-440.2364501447871	8.326832034786207
-440.1494088551906	8.23979074518968
-424.5439606672196	-7.365657442781298
-428.1961021216837	-3.7135159883172264
