Ea	delta_Ea
206.51028364648664	6.663600867085734
189.63928357543045	-10.207399203970454
201.30944854263547	1.4627657632345574
238.87274878443714	39.02606600503623
171.4522753820229	-28.394407397378018
190.00937379151128	-9.837308987889628
175.94528658792296	-23.901396191477943
166.68999982019886	-33.156682959202044
157.94266451000112	-41.904018269399785
152.509600431531	-47.33708234786991
178.5604985225964	-21.286184256804518
235.67571891729676	35.829036137895855
169.04804650215374	-30.79863627724717
227.94495869458842	28.098275915187514
198.54603577339185	-1.3006470060090578
196.6209801464065	-3.2257026329943983
190.2248643553594	-9.621818424041521
209.66778055056056	9.821097771159657
136.8233371668539	-63.02334561254702
149.33187245616864	-50.51481032323227
249.6513627307504	49.8046799513495
196.39527519802868	-3.451407581372223
191.86244107233415	-7.984241707066758
169.99221148824222	-29.85447129115869
205.75587556517712	5.909192785776213
214.82785037527265	14.981167595871739
225.90291871012596	26.05623593072505
210.8669492937961	11.020266514395189
200.17535531371323	0.328672534312318
222.69210930875124	22.845426529350334
214.3107125615934	14.464029782192483
185.6546192226003	-14.192063556800605
212.1809145392399	12.334231759838985
224.37820764719072	24.531524867789813
181.57579142430222	-18.270891355098684
182.82787067937534	-17.01881210002557
201.07810920795873	1.2314264285578247
225.20545417505673	25.358771395655822
164.19083647357184	-35.65584630582907
174.67797801502456	-25.168704764376344
218.09543857475364	18.248755795352736
194.36162418873027	-5.485058590670633
194.38693609257643	-5.459746686824474
181.6825416274787	-18.164141151922195
184.09163387236185	-15.755048907039054
142.4790089287203	-57.3676738506806
190.74553436911447	-9.101148410286442
224.60687806204078	24.76019528263987
185.07872563315414	-14.767957146246772
200.90265244152397	1.0559696621230614
235.71610857068663	35.86942579128572
201.21613519755556	1.3694524181546512
171.51178240928675	-28.334900370114156
198.58148298265587	-1.265199796745037
215.44279586322955	15.59611308382864
227.22920711625193	27.38252433685102
223.5163771903026	23.669694410901684
251.30227086701052	51.45558808760961
211.36877212062245	11.522089341221545
203.5561518433533	3.7094690639523833
230.85920167866425	31.01251889926334
211.30689272017844	11.460209940777531
175.29229087012936	-24.554391909271544
195.9865680185203	-3.860114760880606
201.51544961376658	1.6687668343656696
187.46915520902257	-12.377527570378334
146.43764307582023	-53.409039703580675
182.3732976183892	-17.47338516101172
190.8265904527634	-9.020092326637496
165.42336341968644	-34.42331935971447
205.96648299422304	6.119800214822135
210.0747743494394	10.228091570038487
194.09350647983774	-5.753176299563165
207.9440537375267	8.097370958125794
176.33725535666053	-23.509427422740373
188.2091379434205	-11.637544835980407
193.5022320042699	-6.344450775131008
205.2654467195389	5.418763940137978
178.5049454506334	-21.341737328767522
200.53374841203185	0.6870656326309472
199.39383627889265	-0.45284650050825803
199.6476011300474	-0.19908164935350214
148.14443378032593	-51.70224899907498
213.62068146248203	13.773998683081118
220.2203139227429	20.37363114334198
177.8663816696817	-21.98030110971922
221.25688943412024	21.41020665471933
232.74517245751485	32.89848967811395
168.24963748827395	-31.59704529112696
164.8147706199088	-35.031912159492094
193.06347476448627	-6.783208014914635
250.8072356634657	50.96055288406478
175.91207336340085	-23.934609416000058
190.64062275515607	-9.206060024244834
206.09013635631368	6.243453576912771
169.04827055962232	-30.798412219778584
214.48732256497897	14.64063978557806
222.95471783993708	23.108035060536167
213.09408051577725	13.247397736376342
203.73210285419918	3.885420074798276
200.11192728077276	0.2652445013718534
180.58090378163615	-19.265778997764755
193.73762414311204	-6.109058636288864
189.96489179438504	-9.881790985015869
251.09547900482357	51.248796225422666
196.5650975781682	-3.2815852012327014
210.29276908497923	10.44608630557832
219.87821112026722	20.031528340866316
185.7912942774692	-14.055388501931702
211.40956375946735	11.562880980066438
178.8590880470001	-20.987594732400794
206.93902419952065	7.0923414201197374
200.24504377587436	0.3983609964734569
227.90058872619556	28.053905946794657
216.41401908342232	16.56733630402141
190.48668209547577	-9.360000683925136
177.75026718236768	-22.09641559703323
205.69628286887928	5.849600089478372
194.56525288668126	-5.281429892719643
178.79668145251708	-21.05000132688383
180.5955993155112	-19.2510834638897
211.55216315736016	11.705480377959248
196.84951876275045	-2.9971640166504585
194.02174219114295	-5.8249405882579595
168.83035490318798	-31.016327876212927
185.2796524616533	-14.567030317747594
191.8548560680847	-7.991826711316207
179.4947390808802	-20.3519436985207
227.32291585685743	27.476233077456527
244.6071701560213	44.760487376620404
190.8208572175863	-9.0258255618146
243.3344578442193	43.48777506481838
162.77551817393612	-37.07116460546479
198.49396877201798	-1.3527140073829287
258.5885537945942	58.74187101519328
161.09272797810672	-38.753954801294185
121.82664370651037	-78.02003907289054
178.63483288223324	-21.211849897167667
165.1555356675126	-34.69114711188831
170.5911698169366	-29.25551296246431
196.0556304377642	-3.791052341636714
173.94366261654795	-25.903020162852954
187.73196143796713	-12.114721341433778
206.11389962766407	6.2672168482631605
198.47386949924294	-1.3728132801579704
183.20619830232863	-16.640484477072278
196.65478646422707	-3.1918963151738353
217.78459178890625	17.937909009505347
161.7003718286087	-38.14631095079221
183.18326536159293	-16.663417417807977
191.72262262300137	-8.124060156399537
214.49977752417908	14.653094744778173
196.10945035931945	-3.7372324200814546
205.9119184110914	6.065235631690484
138.48478918390902	-61.36189359549189
152.09654390118158	-47.75013887821933
171.66973633359567	-28.176946445805243
184.27910011903077	-15.567582660370135
179.01105172903408	-20.83563105036683
207.0911855792947	7.24450279989378
165.84082202026093	-34.00586075913998
169.70891059099813	-30.137772188402778
182.86055670985297	-16.986126069547936
197.55180712328365	-2.294875656117256
225.078387231566	25.231704452165104
211.0126525466003	11.165969767199385
