Ea	delta_Ea
112.06596985955912	-4.0868740973419335
117.13491419446291	0.9820702375618566
114.82813713289056	-1.324706824010491
113.9904258033348	-2.16241815356625
116.06869060826466	-0.08415334863639146
114.30272237277586	-1.8501215841251906
115.89913182515193	-0.25371213174912555
111.42648348904913	-4.726360467851919
106.76332040673697	-9.389523550164085
114.57857665420306	-1.57426730269799
116.90930150504755	0.7564575481464999
115.812711542143	-0.34013241475804534
118.58428922908206	2.4314452721810085
117.1637121688982	1.010868211997149
114.57048422569096	-1.58235973121009
119.41400038907886	3.2611564321778133
114.50088143256107	-1.6519625243399787
110.06988142561545	-6.082962531285602
115.51988161262852	-0.6329623442725278
107.64597502821562	-8.506868928685435
116.78758558105619	0.63474162415514
115.86150335054663	-0.2913406063544244
118.43942948674157	2.286585529840522
117.73772103964984	1.5848770827487897
111.74875720569707	-4.404086751203977
110.21955181357225	-5.933292143328799
123.82496702249773	7.672123065596679
124.94334327911565	8.7904993222146
112.44019854885846	-3.71264540804259
112.84522854994793	-3.3076154069531185
125.53854535028222	9.385701393381169
110.81118214511184	-5.3416618117892085
115.98690963281115	-0.16593432408990338
121.69767317185324	5.544829214952188
118.9692067775386	2.8163628206375506
113.38626143349029	-2.7665825234107615
114.09125166347985	-2.0615922934211994
119.4055191549669	3.2526751980658446
113.15442785439882	-2.998416102502233
106.408914213338	-9.743929743563058
116.46191146285128	0.3090675059502246
118.0356515715066	1.8828076146055537
120.60091846081559	4.44807450391454
111.09039728854805	-5.0624466683530045
115.70134839112143	-0.4514955657796236
123.1965517268311	7.043707769930052
115.07486394361331	-1.0779800132877426
120.39174763552	4.238903678618954
112.67191350928897	-3.4809304476120815
114.05434808068094	-2.098495876220113
119.02624917266166	2.873405215760613
113.78080027317992	-2.372043683721131
113.73467079467628	-2.4181731622247753
111.50800086748131	-4.644843089419737
113.84017550192584	-2.31266845497521
123.04109538427292	6.88825142737187
115.48152824620774	-0.6713157106933068
117.18403549914001	1.0311915422389575
121.32461748930291	5.171773532401858
115.83204638356256	-0.32079757333849557
118.52396505106299	2.3711210941619356
121.04724752500624	4.89440356810519
113.55911517935237	-2.5937287775486766
111.65521980315066	-4.497624153750394
116.39673709965336	0.243893142752313
121.76587890077644	5.613034943875391
106.76753795905825	-9.385305997842806
114.2113201060929	-1.941523850808153
121.2775654212328	5.124721464331742
119.12350988312119	2.9706659262201356
105.03274007117761	-11.120103885723438
117.1533923455645	1.0005483886634465
115.99430352922354	-0.15854042767750798
117.16242054350005	1.009576586598996
116.33307841932219	0.18023446242114005
115.93550821391182	-0.21733574298923486
115.13410737385857	-1.0187365830424824
117.83670172065831	1.6838577637572598
121.0825036264323	4.929659669531247
114.00808680367118	-2.1447571532298753
117.71204009997746	1.5591961430764059
111.93614832721596	-4.216695629685091
109.27579540286752	-6.877048554033536
113.21077171742513	-2.9420722394759196
114.15721022780872	-1.995633729092333
112.86618451302913	-3.286659443871926
117.69758839335918	1.5447444364581315
115.94453641184373	-0.2083075450573233
113.2167685496297	-2.936075407271346
109.65366173103394	-6.499182225867116
111.59083623101424	-4.562007725886815
124.1025346845563	7.949690727655252
118.48218492338128	2.329340966480231
116.86297432877836	0.7101303718773124
114.86592376570798	-1.2869201911930759
105.68422010611175	-10.4686238507893
122.64655654460148	6.493712587700429
122.85440279487011	6.70155883796906
119.10045173379797	2.947607776896916
118.69490771852361	2.5420637616225576
110.4191474771169	-5.733696479784157
117.05586144817062	0.9030174912695657
116.78857406988391	0.6357301129828556
115.7728029533173	-0.3800410035837558
117.61930007840783	1.4664561215067806
117.68552882969016	1.5326848727891047
112.52001572651716	-3.6328282303838932
125.88128737552324	9.728443418622192
112.7240398199965	-3.428804136904546
115.98891297016235	-0.16393098673870554
102.78847504289297	-13.364368914008082
120.28578163347993	4.132937676578877
110.2019435326365	-5.950900424264546
114.71347242919	-1.439371527711046
115.72232412398807	-0.430519832912978
113.04839595310477	-3.1044480037962785
114.19082543778859	-1.962018519112462
118.32557534387706	2.172731386976011
115.19908403928639	-0.9537599176146614
115.83922940236152	-0.3136145545395266
115.40449201712181	-0.7483519397792406
118.30323549643163	2.150391539530574
111.52487107676097	-4.627972880140078
116.30618493336078	0.15334097645973088
118.49106814296101	2.3382241860599606
112.16488464131908	-3.987959315581975
113.42473341856021	-2.728110538340843
112.93032425792171	-3.2225196989793403
116.41413450297114	0.26129054607008584
119.71397379784321	3.561129840942158
116.53453244186676	0.3816884849657072
124.026091548767	7.8732475918659475
113.62396004627635	-2.5288839106246996
116.06842701124697	-0.08441694565408397
118.21516114213591	2.0623171852348605
115.21371367389565	-0.9391302830053974
115.89063082125358	-0.26221313564747106
118.63414860541889	2.4813046485178347
115.67329507826435	-0.4795488786367059
113.86831448381872	-2.28452947308233
117.87288041165448	1.7200364547534264
108.32730742563581	-7.825536531265243
120.17671836645627	4.023874409555219
118.29153837866761	2.1386944217665587
109.06030483901668	-7.092539117884371
119.00871997083232	2.8558760139312653
118.28811161741032	2.135267660509271
121.0618771596055	4.90903320270445
119.19422637366188	3.0413824167608254
113.50567088355092	-2.6471730733501317
118.66663693812916	2.5137929812281072
117.92961967021256	1.7767757133115083
121.6933304109516	5.540486454050551
124.85806964314907	8.705225686248014
110.11937176612992	-6.0334721907711355
109.7354427064929	-6.4174012504081475
116.11182826058848	-0.04101569631257007
121.58864087748225	5.435796920581197
112.74789535030504	-3.404948606596008
123.1613615246606	7.008517567759554
114.81719785655832	-1.3356461003427285
114.91288357481972	-1.2399603820813354
120.80744013606454	4.654596179163491
