dH	delta_dH
-428.53684351610445	28.983196051104244
-396.0564855021812	-3.497161962819007
-411.42274244673376	11.869094981733554
-431.74170363829853	32.18805617329832
-352.92114423636167	-46.63250322863854
-401.37005988744977	1.8164124224495595
-382.2574136299163	-17.29623383508391
-388.1882362477054	-11.36541121729482
-379.93910364200474	-19.614543822995472
-366.57270843418974	-32.980939030810475
-397.933365639813	-1.6202818251871918
-439.4637859708009	39.91013850580072
-352.7612854839678	-46.7923619810324
-435.9379688469214	36.38432138192121
-398.2997011570639	-1.2539463079363031
-390.34004231562693	-9.21360514937328
-391.892578109376	-7.661069355624193
-425.0371183413808	25.48347087638058
-331.2116797219239	-68.34196774307634
-384.58999215887866	-14.963655306121552
-411.6884978725281	12.134850407527892
-396.2613636851927	-3.2922837798075193
-401.126309046849	1.572661581848763
-360.1596502758709	-39.39399718912932
-433.8898533873923	34.33620592239208
-412.04636074557374	12.492713280573525
-425.29977578667575	25.746128321675542
-411.1728291257461	11.61918166074588
-405.59930542931573	6.045657964315524
-436.1662515994412	36.61260413444097
-373.2250044428238	-26.328643022176436
-408.3943089511235	8.840661486123281
-411.8846925752495	12.331045110249306
-412.6116767568874	13.05802929188718
-381.34051332996654	-18.21313413503367
-385.0468527295324	-14.506794735467793
-412.3597166128193	12.806069147819073
-415.2615680020644	15.707920537064183
-375.293379124143	-24.260268340857237
-398.95968316710236	-0.5939642978978554
-433.0670668171678	33.5134193521676
-395.6913131349119	-3.862334330088288
-390.822990104124	-8.730657360876194
-392.92179835345263	-6.631849111547581
-401.6146555796658	2.061008114665583
-332.05669351744376	-67.49695394755645
-384.4849271210714	-15.068720343928817
-407.9120711092782	8.358423644277991
-392.83300145676634	-6.720646008233871
-417.04970821693223	17.49606075193202
-444.0460128366348	44.492365371634605
-385.9246525275302	-13.628994937469997
-389.77712248436	-9.776524980640204
-402.93489149514966	3.381244030149446
-408.6283727649115	9.074725299911279
-417.5157458842532	17.962098419252982
-393.02614304936463	-6.527504415635576
-455.0137800434331	55.46013257843288
-412.6398767625487	13.08622929754847
-416.1753168975683	16.62166943256807
-428.499509874573	28.945862409572783
-392.41817860114855	-7.135468863851656
-392.17084065641933	-7.382806808580881
-386.6193422667927	-12.934305198207483
-407.8889229215192	8.335275456519014
-364.3315009452362	-35.22214651976401
-370.20972559083924	-29.34392187416097
-393.95797526587006	-5.595672199130149
-369.6021193989945	-29.95152806600572
-371.18170200275154	-28.371945462248675
-430.2521581594337	30.69851069443348
-402.94193867916505	3.3882912141648376
-405.35819216385966	5.804544698859445
-399.3249349330162	-0.22871253198400154
-352.5207990653689	-47.03284839963129
-398.6012080669788	-0.9524393980213972
-408.7823840944334	9.228736629433172
-395.334176737852	-4.219470727148234
-395.1626790692103	-4.390968395789912
-409.09343035969914	9.53978289469893
-396.3916319259547	-3.1620155390455125
-388.9472017836474	-10.606445681352795
-378.60357047896514	-20.95007698603507
-424.52026051244536	24.96661304744515
-423.9458057231841	24.392158258183883
-412.54340271898775	12.98975525398754
-422.01588624326587	22.462238778265657
-422.27454926668406	22.72090180168385
-395.81234934031863	-3.7412981246815775
-398.52765799053714	-1.0259894744630742
-385.8324216636729	-13.721225801327307
-430.81652243834515	31.262874973344935
-379.8448258740375	-19.708821590962714
-374.7667476367735	-24.786899828226694
-418.59845264618	19.04480518117981
