t	CH4	CO2	CO	H2	H2O	N2
300.0	0.003132312130124397	0.012792332157643034	7.496323795905485e-05	0.0033953957672998684	0.014389704492279224	0.9662152922146944
306.1224489795918	0.0030518415848031764	0.012854775072411506	9.043190516539509e-05	0.003699250318047096	0.01424294454011177	0.9660607565794611
312.2448979591837	0.0029666807831087313	0.012919009545331532	0.00010865012043881936	0.0040189671960721976	0.014089478579160925	0.9658972137758877
318.3673469387755	0.0028768283219175587	0.01298463990126437	0.00013001491742056038	0.0043541549356156785	0.013929700814365804	0.9657246611094161
324.48979591836735	0.0027823117115505875	0.013051204649022666	0.00015496115180470022	0.004704269514538241	0.013764101562222415	0.9655431514108614
330.61224489795916	0.0026831899107502195	0.013118175274150875	0.0001839602541927991	0.005068605542178644	0.013593271114146252	0.9653527979045813
336.734693877551	0.002579556340355921	0.013184956312653179	0.00021751723852690274	0.005446287292072394	0.013417902820461272	0.9651537799959303
342.85714285714283	0.0024715425929084183	0.013250887001598252	0.0002561654598529978	0.005836259223761777	0.01323879532672618	0.9649463503951523
348.9795918367347	0.002359323093159656	0.01331524484092724	0.0003004585402264393	0.006237275563155234	0.01305685389515766	0.9647308440673737
355.1020408163265	0.0022431209903297543	0.013377251437944547	0.0003509588192180449	0.006647888466954434	0.012873090735723937	0.9645076895498292
361.2244897959184	0.002123215571775511	0.013436081031567907	0.00040822165183891954	0.007066434316241229	0.012688624244538621	0.9642774231840379
367.3469387755102	0.001999951441432208	0.013490872119076784	0.0004727748953279721	0.007491017794779823	0.012504677001256055	0.964040706748127
373.46938775510205	0.0018737496258417342	0.013540742579270215	0.0005450930329895027	0.007919493701744352	0.012322572278687266	0.9637983487814669
379.59183673469386	0.0017451205602015644	0.013584808648437845	0.0006255656251741288	0.008349446967833329	0.012143728674541047	0.9635513295238121
385.7142857142857	0.0016146785802907434	0.01362220797906933	0.000714460219492346	0.008778172238197907	0.011969652237358656	0.963300828745591
391.83673469387753	0.0014831570155362862	0.0136521268059572	0.0008118805715987811	0.009202655759349556	0.011801925114920743	0.9630482547326374
397.9591836734694	0.001351422207079609	0.01367383091147055	0.0009177221076311203	0.009619564290236153	0.011642189277103348	0.9627952712064792
404.0816326530612	0.0012204837322331	0.013686699587988986	0.0010316280624537322	0.01002524839130064	0.011492123266634813	0.9625438169593887
410.2040816326531	0.0010914968491107506	0.013690261107925808	0.001152951642744951	0.010415770560619583	0.011353409290547949	0.962296110549051
416.3265306122449	0.0009657518825841088	0.013684227320694261	0.0012807317065448016	0.0107869716730039	0.011227687501821028	0.962054629915352
422.44897959183675	0.0008446444213100245	0.013668523951174414	0.0014136913200228898	0.011134590687385922	0.01111649447335055	0.9618220551467563
428.57142857142856	0.0007296206074422454	0.013643312143749168	0.0015502691839501476	0.01145445032174377	0.011021184328469559	0.9616011634146452
434.69387755102036	0.0006220945832645109	0.013608996134205296	0.0016886918899732754	0.011742712385144682	0.010942834569609594	0.9613946704378026
440.81632653061223	0.0005233412469861932	0.013566212202088486	0.0018270888021131718	0.011996188462787015	0.010882144755462068	0.9612050245305631
446.9387755102041	0.0004343766281868962	0.013515795898712253	0.001963640649876498	0.012212666014151411	0.010839343932302133	0.9610341768767708
453.0612244897959	0.00035584783772669667	0.013458728272870618	0.0020967398506421776	0.012391184759690607	0.010814129091499163	0.9608833701875706
459.1836734693877	0.00028795959580408745	0.01339606689324347	0.002225130626098787	0.012532188105830223	0.010805657171241156	0.9607529976077823
465.3061224489796	0.00023045962376787283	0.01332887207455907	0.0023479969177087846	0.01263749320325552	0.010812603519224917	0.960642574661484
471.42857142857144	0.0001826897965972361	0.013258140656598444	0.002464979082335492	0.012710071266806344	0.01083328171227639	0.960550837485386
477.55102040816325	0.00014368999897472077	0.013184757506362816	0.0025761218366291737	0.012753687509439246	0.010865800874562367	0.9604759422740315
483.67346938775506	0.00011232708416171245	0.013109469489378361	0.0026817754277348176	0.012772488236893866	0.010908226829405362	0.9604157129324259
489.7959183673469	8.741890660683726e-05	0.013032880550129012	0.0027824804644924635	0.012770623830309764	0.01095871698021232	0.9603678792682495
495.9183673469388	6.783199961866076e-05	0.012955462328882434	0.002878862729084317	0.012751966330028645	0.011015612040315675	0.9603302645720703
502.0408163265306	5.254444359668961e-05	0.012877573439135113	0.0029715530305704585	0.012719940108348642	0.011077482628862129	0.960300906349487
508.1632653061224	4.067625465983702e-05	0.012799481519849124	0.003061135730383528	0.012677452755875706	0.011143139059777454	0.9602781146794543
514.2857142857142	3.149530643999722e-05	0.012721384166989912	0.0031481220773053402	0.012626898247679371	0.01121161661508883	0.9602604835864965
520.4081632653061	2.4407902704839032e-05	0.012643426784355354	0.0032329414842314865	0.012570203076256725	0.011282147816083518	0.960246872936368
526.530612244898	1.8941604754634595e-05	0.012565716781914253	0.003315943956339214	0.012508891967675177	0.011354130231523908	0.9602363754577928
532.6530612244898	1.4725569749534466e-05	0.012488334339446995	0.0033974083638849046	0.012444157630239134	0.011427095112497634	0.9602282789841818
538.7755102040817	1.1471506751173924e-05	0.012411340293675507	0.0034775529934319284	0.012376925773486824	0.011500679551037677	0.9602220298816169
544.8979591836735	8.956781691200022e-06	0.012334781778414818	0.0035565462654317463	0.012307911433489338	0.011574603137309136	0.9602172006036637
551.0204081632653	7.010205230960891e-06	0.01225869618780397	0.0036345165312296262	0.012237665572493527	0.011648649104928873	0.9602134623983131
557.1428571428571	5.500482853960811e-06	0.012183113926408006	0.0037115605055878	0.01216661247879344	0.011722649478891716	0.9602105631274651
