z,Density,Pressure,Velocity,Temperature,H2,H2O,CO,CO2,O2,CH4,N2,Rh(100),H(100),CO(100),OH(100),O(100),CO2(100),H2O(100),tCOOH(100),cCOOH(100),HCOO(100),C(100),CH(100),CH2(100),CH3(100),OCH(100),Rh(110),H(110),CO(110),OH(110),O(110),CO2(110),H2O(110),tCOOH(110),cCOOH(110),HCOO(110),C(110),CH(110),CH2(110),CH3(110),OCH(110),Rh(111),H(111),CO(111),OH(111),O(111),CO2(111),H2O(111),tCOOH(111),cCOOH(111),HCOO(111),C(111),CH(111),CH2(111),CH3(111),OCH(111),Rh(311),H(311),CO(311),OH(311),O(311),CO2(311),H2O(311),tCOOH(311),cCOOH(311),HCOO(311),C(311),CH(311),CH2(311),CH3(311),OCH(311),Rh(331),H(331),CO(331),OH(331),O(331),CO2(331),H2O(331),tCOOH(331),cCOOH(331),HCOO(331),C(331),CH(331),CH2(331),CH3(331),OCH(331)
0.0,2.1183252273127198,100000.0,0.39386427949056424,848.15,0.0,0.023900000000000005,0.015900000000000004,0.0,0.0,0.0,0.9601999999999999,0.41691659141438603,0.06754632714591488,0.4622051878255629,7.69438791394892e-05,0.0212970709616617,3.488257963494576e-08,9.692908341631306e-08,1.414461918213024e-10,9.664481117799402e-11,8.35501533085841e-12,0.03187027653021357,8.744987150184699e-05,1.0097834623304074e-11,1.0373569494669098e-14,2.03034018864433e-08,0.5274776294471353,1.0258274826493837e-05,0.47245408919973825,1.880783082654781e-07,2.953437298081538e-05,4.9520171187042186e-12,3.2054722813659163e-07,9.31212975562956e-13,1.3806674534515397e-12,6.517678920934425e-16,2.7979642900299245e-05,3.9691076918988825e-10,3.707917271652417e-17,3.157510831300167e-20,3.2706940896123506e-11,0.7605670220038311,9.888480859341214e-05,0.23782136991005282,7.1715194950279664e-06,0.0015055324859695005,1.172068565710149e-11,1.6552882527871305e-08,4.1266413075464e-10,2.2624917749114516e-10,2.519775721705421e-14,1.6548736797471614e-09,4.085994823004956e-10,7.311671037925573e-16,2.4387788290641397e-18,5.042584838489705e-12,0.31903069944191664,0.0001481056293399767,0.5928362209717863,0.006262013831144714,0.0817223529187716,3.0961256049737306e-10,3.143338904104939e-07,4.2133284950160963e-10,3.1350714352203827e-09,2.7467560364876235e-12,2.8865164162232633e-07,1.2806403461731288e-10,3.4999106965584365e-16,3.7243544756154565e-18,2.2468047460465238e-10,0.4660693404452933,2.126906274843877e-05,0.5333251059285796,1.2405392321331625e-06,0.0004978287468593091,2.3098825483878033e-12,4.3345057915953547e-07,6.458936538396273e-12,5.8618367892808194e-12,6.861957317326165e-16,8.477798772276085e-05,3.776161026102632e-09,1.0360857064721456e-15,1.106916394481195e-18,4.819165713824218e-11
9.999999682655225e-21,2.1183252273127198,100000.0,0.39386427949056424,848.15,7.267495602047087e-18,0.0239,0.015899999999999997,7.267495602688405e-18,1.6370541402939622e-34,2.1377280494520743e-28,0.9601999999999999,0.41691659141438636,0.06754632714591527,0.4622051878255631,7.694387913948968e-05,0.021297070961661748,3.4882579634946164e-08,9.692908341631394e-08,1.4144619182130338e-10,9.664481117799463e-11,8.355015330858545e-12,0.03187027653021353,8.744987150184733e-05,1.009783462330416e-11,1.0373569494669236e-14,2.0303401886443407e-08,0.5274776294471357,1.0258274826715971e-05,0.4724540891997381,1.8807830826771996e-07,2.9534372980815655e-05,4.952017118750254e-12,3.2054722813659433e-07,9.312129755740562e-13,1.380667453467998e-12,6.517678921135694e-16,2.797964290029904e-05,3.9691076919847987e-10,3.707917271678388e-17,3.157510831390654e-20,3.270694089683175e-11,0.7605670220038312,9.888480859342918e-05,0.2378213699100527,7.171519495027515e-06,0.0015055324859692932,1.1720685657100057e-11,1.6552882527871454e-08,4.126641307546237e-10,2.2624917749113234e-10,2.519775721705522e-14,1.6548736797473922e-09,4.0859948230062294e-10,7.311671037929111e-16,2.4387788290657348e-18,5.042584838490576e-12,0.319030699441928,0.00014810562934000192,0.5928362209717916,0.006262013831144252,0.08172235291875583,3.0961256049735667e-10,3.1433389041050775e-07,4.2133284950162106e-10,3.135071435220246e-09,2.746756036487616e-12,2.88651641622407e-07,1.2806403461736603e-10,3.4999106965603633e-16,3.724354475618011e-18,2.2468047460469872e-10,0.4660693404452932,2.1269062748979094e-05,0.5333251059285794,1.240539232145582e-06,0.0004978287468593136,2.309882548422128e-12,4.33450579159539e-07,6.4589365384608955e-12,5.861836789339492e-12,6.861957317533071e-16,8.477798772275996e-05,3.776161026198525e-09,1.0360857065247778e-15,1.1069163945655465e-18,4.819165713946643e-11
1.999999936531045e-20,2.1183252273127198,100000.0,0.39386427949056424,848.15,1.4534991204094067e-17,0.02389999999999999,0.01589999999999999,1.4534991205376706e-17,3.274108280587311e-34,4.275456098904179e-28,0.9601999999999999,0.4169165914143862,0.06754632714591542,0.4622051878255631,7.694387913948946e-05,0.021297070961661654,3.4882579634946025e-08,9.692908341631388e-08,1.4144619182130325e-10,9.664481117799451e-11,8.355015330858536e-12,0.031870276530213654,8.744987150184788e-05,1.0097834623304253e-11,1.0373569494669361e-14,2.0303401886443463e-08,0.5274776294471356,1.0258274826938282e-05,0.47245408919973775,1.880783082699618e-07,2.953437298081563e-05,4.952017118796164e-12,3.205472281365941e-07,9.312129755851557e-13,1.3806674534844549e-12,6.517678921336913e-16,2.7979642900299048e-05,3.9691076920708177e-10,3.707917271704388e-17,3.157510831481222e-20,3.270694089754054e-11,0.7605670220038314,9.888480859344594e-05,0.2378213699100526,7.1715194950269915e-06,0.0015055324859690714,1.1720685657098414e-11,1.655288252787146e-08,4.126641307546028e-10,2.2624917749111657e-10,2.519775721705584e-14,1.6548736797476354e-09,4.085994823007522e-10,7.311671037932662e-16,2.438778829067327e-18,5.0425848384914326e-12,0.3190306994419397,0.00014810562934002635,0.592836220971797,0.006262013831143683,0.08172235291873921,3.096125604973341e-10,3.143338904105193e-07,4.2133284950163196e-10,3.135071435220055e-09,2.746756036487553e-12,2.886516416224915e-07,1.2806403461741992e-10,3.499910696562283e-16,3.7243544756205294e-18,2.246804746047437e-10,0.46606934044529275,2.126906274951981e-05,0.5333251059285797,1.2405392321579842e-06,0.0004978287468593081,2.309882548456388e-12,4.334505791595384e-07,6.458936538525459e-12,5.861836789398108e-12,6.861957317739948e-16,8.477798772276087e-05,3.776161026294569e-09,1.036085706577471e-15,1.1069163946499835e-18,4.8191657140691555e-11
3.99999987306209e-20,2.1183252273127198,100000.0,0.39386427949056424,848.15,2.9069982408187764e-17,0.02389999999999998,0.015899999999999977,2.9069982410753035e-17,6.548216561172508e-34,8.550912197808457e-28,0.9601999999999999,0.41691659141438603,0.06754632714591577,0.4622051878255631,7.694387913948937e-05,0.021297070961661495,3.488257963494593e-08,9.692908341631416e-08,1.414461918213033e-10,9.664481117799442e-11,8.355015330858557e-12,0.031870276530213786,8.744987150184879e-05,1.0097834623304413e-11,1.037356949466958e-14,2.0303401886443526e-08,0.5274776294471357,1.0258274827382571e-05,0.4724540891997375,1.8807830827444294e-07,2.9534372980815716e-05,4.952017118888039e-12,3.2054722813659523e-07,9.312129756073407e-13,1.3806674535173476e-12,6.517678921739214e-16,2.7979642900298957e-05,3.969107692242706e-10,3.707917271756372e-17,3.157510831662238e-20,3.270694089895702e-11,0.7605670220038316,9.888480859347955e-05,0.2378213699100529,7.171519495025918e-06,0.001505532485968629,1.1720685657095199e-11,1.6552882527871523e-08,4.126641307545581e-10,2.2624917749108325e-10,2.5197757217057154e-14,1.6548736797481388e-09,4.08599482301015e-10,7.311671037939847e-16,2.43877882907054e-18,5.0425848384931475e-12,0.3190306994419624,0.0001481056293400759,0.5928362209718077,0.006262013831142625,0.08172235291870676,3.0961256049729355e-10,3.1433389041054253e-07,4.213328495016545e-10,3.135071435219717e-09,2.7467560364874877e-12,2.8865164162265673e-07,1.2806403461752702e-10,3.4999106965661383e-16,3.724354475625616e-18,2.2468047460483529e-10,0.4660693404452925,2.1269062750600535e-05,0.5333251059285781,1.2405392321827963e-06,0.0004978287468593075,2.3098825485249565e-12,4.334505791595397e-07,6.4589365386545325e-12,5.8618367895152985e-12,6.861957318153608e-16,8.477798772276052e-05,3.776161026486428e-09,1.0360857066827589e-15,1.1069163948187143e-18,4.819165714314015e-11
7.99999974612418e-20,2.1183252273127198,100000.0,0.39386427949056424,848.15,5.813996481637311e-17,0.02389999999999995,0.01589999999999995,5.813996482150367e-17,1.3096433122331152e-33,1.710182439561757e-27,0.9601999999999999,0.41691659141438525,0.06754632714591632,0.46220518782556297,7.694387913948834e-05,0.021297070961661103,3.488257963494518e-08,9.692908341631359e-08,1.4144619182130235e-10,9.664481117799353e-11,8.355015330858461e-12,0.031870276530214306,8.744987150185105e-05,1.0097834623304772e-11,1.037356949467005e-14,2.0303401886443652e-08,0.527477629447135,1.025827482827147e-05,0.4724540891997372,1.880783082834059e-07,2.9534372980815455e-05,4.952017119071622e-12,3.205472281365932e-07,9.312129756517159e-13,1.3806674535831406e-12,6.517678922543796e-16,2.7979642900299092e-05,3.9691076925866605e-10,3.707917271860381e-17,3.1575108320244125e-20,3.2706940901791044e-11,0.7605670220038325,9.888480859354646e-05,0.23782136991005282,7.171519495023775e-06,0.0015055324859677335,1.1720685657088527e-11,1.655288252787147e-08,4.126641307544721e-10,2.2624917749101845e-10,2.5197757217059432e-14,1.654873679749119e-09,4.0859948230153325e-10,7.311671037954061e-16,2.43877882907691e-18,5.042584838496562e-12,0.31903069944200924,0.00014810562934017358,0.5928362209718299,0.006262013831140315,0.08172235291864008,3.096125604972017e-10,3.143338904105874e-07,4.2133284950169907e-10,3.1350714352189463e-09,2.746756036487238e-12,2.8865164162299544e-07,1.2806403461774289e-10,3.4999106965738287e-16,3.724354475635708e-18,2.246804746050159e-10,0.4660693404452905,2.1269062752762584e-05,0.5333251059285783,1.2405392322323844e-06,0.0004978287468592847,2.3098825486619813e-12,4.3345057915953563e-07,6.458936538912558e-12,5.861836789749565e-12,6.861957318980822e-16,8.477798772276369e-05,3.776161026870442e-09,1.0360857068934474e-15,1.1069163951563311e-18,4.8191657148038696e-11
1.599999949224836e-19,2.1183252273127198,100000.0,0.39386427949056424,848.15,1.1627992963273706e-16,0.02389999999999989,0.015899999999999893,1.1627992964299816e-16,2.6192866244609365e-33,3.420364879123773e-27,0.9601999999999999,0.416916591414384,0.06754632714591753,0.46220518782556275,7.694387913948656e-05,0.02129707096166037,3.4882579634944087e-08,9.692908341631323e-08,1.4144619182130144e-10,9.664481117799225e-11,8.355015330858374e-12,0.03187027653021533,8.744987150185569e-05,1.009783462330552e-11,1.0373569494671035e-14,2.0303401886443943e-08,0.5274776294471338,1.0258274830049044e-05,0.47245408919973647,1.8807830830133115e-07,2.953437298081517e-05,4.952017119438892e-12,3.205472281365917e-07,9.312129757404603e-13,1.3806674537147184e-12,6.517678924152964e-16,2.7979642900299133e-05,3.96910769327445e-10,3.707917272068366e-17,3.1575108327486645e-20,3.270694090745837e-11,0.7605670220038342,9.888480859368093e-05,0.2378213699100528,7.17151949501954e-06,0.0015055324859659645,1.1720685657075442e-11,1.6552882527871493e-08,4.126641307543043e-10,2.2624917749089145e-10,2.5197757217064566e-14,1.6548736797510829e-09,4.0859948230257286e-10,7.311671037982588e-16,2.438778829089696e-18,5.042584838503428e-12,0.31903069944210216,0.0001481056293403702,0.5928362209718727,0.006262013831135894,0.08172235291850838,3.096125604970264e-10,3.143338904106785e-07,4.2133284950178835e-10,3.135071435217498e-09,2.7467560364868322e-12,2.886516416236649e-07,1.2806403461817266e-10,3.4999106965891986e-16,3.724354475655923e-18,2.2468047460537893e-10,0.46606934044528814,2.1269062757086304e-05,0.5333251059285767,1.2405392323315844e-06,0.0004978287468592537,2.309882548936107e-12,4.334505791595324e-07,6.458936539428715e-12,5.861836790218193e-12,6.861957320635333e-16,8.477798772276797e-05,3.776161027638295e-09,1.0360857073147554e-15,1.1069163958314676e-18,4.8191657157835034e-11
3.199999898449672e-19,2.1183252273127198,100000.0,0.39386427949056424,848.15,2.3255985926543767e-16,0.023899999999999776,0.015899999999999775,2.325598592859599e-16,5.238573248900932e-33,6.840729758248556e-27,0.9601999999999999,0.41691659141438187,0.06754632714591995,0.46220518782556225,7.69438791394833e-05,0.0212970709616589,3.488257963494187e-08,9.692908341631249e-08,1.4144619182129938e-10,9.664481117798973e-11,8.355015330858185e-12,0.03187027653021725,8.744987150186453e-05,1.0097834623306948e-11,1.0373569494672927e-14,2.0303401886444522e-08,0.527477629447132,1.0258274833604204e-05,0.4724540891997346,1.8807830833718206e-07,2.9534372980814672e-05,4.952017120173444e-12,3.2054722813658904e-07,9.31212975917956e-13,1.3806674539778837e-12,6.517678927371314e-16,2.7979642900299153e-05,3.9691076946500217e-10,3.707917272484332e-17,3.1575108341971636e-20,3.270694091879314e-11,0.760567022003837,9.888480859394963e-05,0.23782136991005304,7.171519495011069e-06,0.0015055324859624178,1.1720685657049226e-11,1.655288252787152e-08,4.126641307539649e-10,2.2624917749063539e-10,2.5197757217074638e-14,1.654873679755007e-09,4.0859948230465043e-10,7.311671038039606e-16,2.4387788291152516e-18,5.0425848385171366e-12,0.31903069944228774,0.00014810562934076317,0.5928362209719596,0.006262013831126996,0.08172235291824445,3.0961256049667477e-10,3.1433389041086044e-07,4.213328495019676e-10,3.1350714352145813e-09,2.746756036486008e-12,2.8865164162500576e-07,1.280640346190328e-10,3.4999106966199573e-16,3.724354475696367e-18,2.246804746061053e-10,0.4660693404452823,2.1269062765733684e-05,0.5333251059285734,1.2405392325299794e-06,0.000497828746859189,2.309882549484346e-12,4.334505791595248e-07,6.458936540460936e-12,5.861836791155367e-12,6.861957323944301e-16,8.477798772277617e-05,3.776161029173985e-09,1.0360857081573657e-15,1.1069163971817346e-18,4.8191657177427376e-11
6.399999796899344e-19,2.1183252273127198,100000.0,0.39386427949056424,848.15,4.651197185307322e-16,0.023899999999999543,0.01589999999999954,4.651197185717764e-16,1.0477146497718253e-32,1.3681459516501188e-26,0.9601999999999999,0.41691659141437726,0.06754632714592507,0.46220518782556086,7.694387913947782e-05,0.021297070961656193,3.4882579634937774e-08,9.692908341631095e-08,1.4144619182129498e-10,9.664481117798499e-11,8.355015330857931e-12,0.031870276530220655,8.744987150188147e-05,1.0097834623309788e-11,1.0373569494676745e-14,2.0303401886445713e-08,0.5274776294471288,1.025827484071454e-05,0.47245408919973053,1.8807830840888427e-07,2.9534372980813775e-05,4.952017121642556e-12,3.205472281365841e-07,9.31212976272948e-13,1.380667454504215e-12,6.517678933808026e-16,2.797964290029932e-05,3.969107697401182e-10,3.7079172733162814e-17,3.1575108370941763e-20,3.2706940941462684e-11,0.7605670220038433,9.888480859448684e-05,0.23782136991005343,7.171519494994094e-06,0.0015055324859553204,1.1720685656996749e-11,1.655288252787159e-08,4.12664130753283e-10,2.262491774901213e-10,2.5197757217094665e-14,1.6548736797628657e-09,4.0859948230880716e-10,7.311671038153654e-16,2.438778829166362e-18,5.04258483854455e-12,0.31903069944265916,0.00014810562934154914,0.592836220972133,0.006262013831109192,0.0817223529177167,3.096125604959713e-10,3.1433389041122456e-07,4.213328495023247e-10,3.1350714352087356e-09,2.746756036484352e-12,2.886516416276885e-07,1.280640346207535e-10,3.4999106966814796e-16,3.724354475777264e-18,2.2468047460755715e-10,0.46606934044527093,2.1269062783028453e-05,0.533325105928567,1.2405392329267705e-06,0.0004978287468590602,2.309882550580831e-12,4.334505791595101e-07,6.458936542525476e-12,5.861836793029802e-12,6.861957330562243e-16,8.477798772279261e-05,3.776161032245365e-09,1.0360857098425872e-15,1.1069163998822691e-18,4.8191657216612104e-11
1.2799999593798688e-18,2.1183252273127198,100000.0,0.39386427949056424,848.15,9.30239437060889e-16,0.023899999999999075,0.015899999999999075,9.302394371429777e-16,2.0954292995102242e-32,2.736291903301866e-26,0.9601999999999999,0.4169165914143677,0.067546327145935,0.46220518782555886,7.694387913946561e-05,0.021297070961650524,3.488257963492925e-08,9.692908341630786e-08,1.414461918212866e-10,9.664481117797518e-11,8.355015330857306e-12,0.03187027653022794,8.744987150191631e-05,1.0097834623315525e-11,1.0373569494684402e-14,2.0303401886448043e-08,0.5274776294471221,1.0258274854935192e-05,0.47245408919972276,1.8807830855228812e-07,2.9534372980811877e-05,4.952017124580768e-12,3.205472281365735e-07,9.312129769829276e-13,1.3806674555568709e-12,6.517678946681428e-16,2.7979642900299472e-05,3.9691077029034773e-10,3.707917274980155e-17,3.15751084288818e-20,3.270694098680163e-11,0.7605670220038557,9.888480859556127e-05,0.23782136991005434,7.171519494960133e-06,0.0015055324859411243,1.1720685656891795e-11,1.6552882527871722e-08,4.126641307519243e-10,2.2624917748909595e-10,2.5197757217134714e-14,1.6548736797785953e-09,4.0859948231712395e-10,7.311671038381801e-16,2.4387788292685995e-18,5.042584838599384e-12,0.3190306994434017,0.00014810562934312104,0.5928362209724799,0.006262013831073578,0.0817223529166612,3.096125604945644e-10,3.143338904119524e-07,4.2133284950304e-10,3.135071435197048e-09,2.746756036481051e-12,2.8865164163305385e-07,1.2806403462419508e-10,3.4999106968045384e-16,3.724354475939074e-18,2.2468047461046161e-10,0.4660693404452487,2.1269062817618016e-05,0.5333251059285543,1.240539233720355e-06,0.0004978287468588039,2.3098825527738037e-12,4.334505791594809e-07,6.4589365466545354e-12,5.8618367967786576e-12,6.861957343798161e-16,8.47779877228258e-05,3.77616103838814e-09,1.0360857132130336e-15,1.1069164052833415e-18,4.8191657294981845e-11
2.5599999187597377e-18,2.1183252273127198,100000.0,0.39386427949056424,848.15,1.860478874119475e-15,0.023899999999998145,0.015899999999998148,1.8604788742836528e-15,4.190858598886781e-32,5.472583806610238e-26,0.9601999999999999,0.416916591414349,0.06754632714595485,0.4622051878255543,7.694387913944111e-05,0.0212970709616392,3.488257963491218e-08,9.692908341630169e-08,1.4144619182126975e-10,9.664481117795543e-11,8.355015330856044e-12,0.031870276530242554,8.744987150198605e-05,1.0097834623327e-11,1.03735694946997e-14,2.030340188645266e-08,0.5274776294471083,1.0258274883376499e-05,0.4724540891997081,1.8807830883909556e-07,2.9534372980808005e-05,4.95201713045719e-12,3.205472281365528e-07,9.312129784028859e-13,1.3806674576621822e-12,6.517678972428234e-16,2.7979642900300085e-05,3.969107713908112e-10,3.7079172783079455e-17,3.157510854476222e-20,3.270694107747961e-11,0.7605670220038806,9.888480859771015e-05,0.2378213699100558,7.1715194948921955e-06,0.0015055324859127354,1.1720685656681898e-11,1.655288252787199e-08,4.1266413074920105e-10,2.262491774870418e-10,2.5197757217214856e-14,1.6548736798100512e-09,4.085994823337568e-10,7.311671038838089e-16,2.4387788294730724e-18,5.042584838709047e-12,0.3190306994448874,0.0001481056293462649,0.5928362209731735,0.006262013831002392,0.08172235291455025,3.0961256049175087e-10,3.1433389041340895e-07,4.213328495044705e-10,3.1350714351736917e-09,2.7467560364744447e-12,2.8865164164378226e-07,1.2806403463107699e-10,3.49991069705061e-16,3.724354476262639e-18,2.2468047461627065e-10,0.4660693404452033,2.126906288679708e-05,0.5333251059285293,1.2405392353075157e-06,0.0004978287468582872,2.309882557159733e-12,4.3345057915942175e-07,6.4589365549125566e-12,5.861836804276278e-12,6.861957370269915e-16,8.477798772289236e-05,3.776161050673688e-09,1.0360857199539256e-15,1.1069164160854846e-18,4.8191657451720894e-11
