z,Density,Pressure,Velocity,Temperature,H2,H2O,CO,CO2,O2,CH4,N2,Rh(100),H(100),CO(100),OH(100),O(100),CO2(100),H2O(100),tCOOH(100),cCOOH(100),HCOO(100),C(100),CH(100),CH2(100),CH3(100),OCH(100),Rh(110),H(110),CO(110),OH(110),O(110),CO2(110),H2O(110),tCOOH(110),cCOOH(110),HCOO(110),C(110),CH(110),CH2(110),CH3(110),OCH(110),Rh(111),H(111),CO(111),OH(111),O(111),CO2(111),H2O(111),tCOOH(111),cCOOH(111),HCOO(111),C(111),CH(111),CH2(111),CH3(111),OCH(111),Rh(311),H(311),CO(311),OH(311),O(311),CO2(311),H2O(311),tCOOH(311),cCOOH(311),HCOO(311),C(311),CH(311),CH2(311),CH3(311),OCH(311),Rh(331),H(331),CO(331),OH(331),O(331),CO2(331),H2O(331),tCOOH(331),cCOOH(331),HCOO(331),C(331),CH(331),CH2(331),CH3(331),OCH(331)
0.0,2.055885646244727,100000.0,0.4058263848021892,823.15,0.0,0.023900000000000005,0.015900000000000004,0.0,0.0,0.0,0.9601999999999999,0.3865979465375552,0.048516236761016476,0.5011810887430648,0.00010925537927854983,0.034925636294094356,4.8287095941187715e-08,9.842127305316225e-08,1.4713801277133792e-10,1.0454228036488578e-10,7.548193905080834e-12,0.028616995483447764,5.267436812840495e-05,3.0779635443201005e-12,2.184690038602568e-15,1.9462604908199992e-08,0.4538555538518045,0.00029000965393793433,0.5452659131196068,6.838042621031814e-05,0.0005184563157041672,6.80181909786612e-11,3.1753489292451526e-07,4.18685097525478e-10,6.152048626895729e-10,1.600188036761311e-10,1.3662204561674495e-06,5.79606289228497e-10,9.375561183563269e-14,2.7648166299601862e-15,1.0357639059445181e-09,0.7148255852130613,0.00038022429831700367,0.2846288394218516,2.0674683477539175e-06,0.00016323256060334754,9.344111502461092e-13,1.6939541740094082e-08,2.0356977311301644e-10,9.308365602907802e-11,2.8463916855569814e-13,1.5896155638686412e-08,1.788363293739755e-08,1.0452435109031069e-13,1.5781339442986192e-15,2.0512180190344854e-11,0.3189614558807174,0.0008302230449800913,0.6766046806376901,0.0013439775888973951,0.0022452066155225006,5.74364399650724e-10,3.692927454739292e-07,3.955454907417025e-10,8.146508941855832e-10,1.3505856654682016e-09,1.404896166576696e-05,3.2958844119880355e-08,4.160936167983035e-13,2.4133385219312233e-14,1.8846447223594286e-09,0.39778349661381235,0.0007261298791273783,0.5987529446513813,0.00010378990910855062,0.0026172361862850076,8.80467254920345e-12,4.321083326859142e-07,6.477741796471578e-10,5.874897308993244e-10,1.0466340990886285e-10,1.5941392522527166e-05,2.6112628492333408e-08,2.441802703427493e-13,1.0677534688746508e-14,1.7978174964065425e-09
9.999999682655225e-21,2.055885646244727,100000.0,0.4058263848021892,823.15,8.452357460408009e-18,0.0239,0.015899999999999997,8.452357460684881e-18,2.931440144450353e-37,9.229170489119428e-29,0.9601999999999999,0.3865979401773319,0.04851623521916134,0.5011810984266132,0.00010925537704394513,0.03492563557734559,4.8287095971560245e-08,9.842127133651222e-08,1.4713801404302505e-10,1.0454228084260216e-10,7.54819375568697e-12,0.028616994423850142,5.2674365370623165e-05,3.0779633359920815e-12,2.1846898570991344e-15,1.946260741109396e-08,0.45385557048168856,0.0002900096620718687,0.5452658964619121,6.838042796089439e-05,0.0005184563337540889,6.801819125900979e-11,3.1753490455929555e-07,4.186850640140081e-10,6.152048137626084e-10,1.6001880581925972e-10,1.3662203146888272e-06,5.796062242262229e-10,9.37556013826885e-14,2.7648162998826137e-15,1.0357638260893184e-09,0.7148255951931959,0.00038022430049899664,0.2846288294378111,2.0674683618902537e-06,0.00016323256231345356,9.34411127122218e-13,1.6939541976505898e-08,2.035697485515387e-10,9.308364492135617e-11,2.846391696339294e-13,1.5896154698279312e-08,1.7883631735527004e-08,1.0452434320626306e-13,1.5781338249369542e-15,2.0512177676649123e-11,0.31896146910901674,0.0008302230666633985,0.6766046672749708,0.0013439776214413128,0.0022452066941212223,5.743644232642336e-10,3.6929276078883495e-07,3.955454656276113e-10,8.146508545063819e-10,1.3505857101814697e-09,1.404896194996036e-05,3.295884429331826e-08,4.160936123452152e-13,2.4133384587876293e-14,1.884644948959955e-09,0.3977835117807489,0.000726129900237259,0.5987529293673971,0.00010378991189786973,0.002617236281044684,8.804672646218422e-12,4.3210834916138605e-07,6.47774127751959e-10,5.874896848144296e-10,1.0466341146595346e-10,1.594139089549509e-05,2.6112625594804657e-08,2.4418024271234995e-13,1.0677533459868512e-14,1.7978173603172588e-09
1.999999936531045e-20,2.055885646244727,100000.0,0.4058263848021892,823.15,1.6904714921747053e-17,0.02389999999999999,0.01589999999999999,1.69047149223008e-17,5.862880290246116e-37,1.8458340974083113e-28,0.9601999999999999,0.38659794018490123,0.04851623521520464,0.501181098423108,0.00010925537705054166,0.03492563558188676,4.8287095976801764e-08,9.842127133792795e-08,1.4713801403561964e-10,1.0454228083769532e-10,7.548193755483073e-12,0.028616994419208914,5.2674365356753116e-05,3.077963334870322e-12,2.1846898560801084e-15,1.9462607392338575e-08,0.45385557057799786,0.00029000966212727394,0.5452658963653525,6.838042798218804e-05,0.0005184563339285719,6.801819126980912e-11,3.1753490462667644e-07,4.186850638421661e-10,6.152048135208598e-10,1.6001880585016389e-10,1.3662203135874038e-06,5.79606223746695e-10,9.375560130761491e-14,2.764816297624425e-15,1.0357638255213677e-09,0.7148255952524727,0.0003802243005225501,0.28462882937847733,2.06746836219826e-06,0.0001632325623466039,9.34411127116473e-13,1.6939541977909855e-08,2.0356974841328418e-10,9.308364486025942e-11,2.846391696487108e-13,1.5896154690681946e-08,1.7883631726627123e-08,1.045243431520536e-13,1.5781338241568731e-15,2.051217766117447e-11,0.3189614692481173,0.0008302230669418594,0.6766046671337429,0.0013439776220155858,0.002245206695392026,5.743644235710473e-10,3.692927609498548e-07,3.95545465320603e-10,8.146508540930312e-10,1.3505857106929901e-09,1.404896195346463e-05,3.295884429830219e-08,4.16093612366508e-13,2.413338458683918e-14,1.884644947669797e-09,0.3977835119303563,0.000726129900490652,0.5987529292161824,0.00010378991194676918,0.0026172362823596576,8.804672648504809e-12,4.3210834932390054e-07,6.477741273623826e-10,5.874896844424985e-10,1.0466341150328441e-10,1.5941390885207837e-05,2.61126255772719e-08,2.4418024255240874e-13,1.067753345305581e-14,1.7978173589709087e-09
3.99999987306209e-20,2.055885646244727,100000.0,0.4058263848021892,823.15,3.380942984245942e-17,0.023899999999999977,0.015899999999999973,3.380942984356693e-17,1.1725760578979621e-36,3.6916681952818165e-28,0.9601999999999999,0.3865979374369728,0.04851623456630997,0.5011811025832628,0.00010925537607344273,0.03492563526124109,4.8287095974260235e-08,9.842127059811226e-08,1.4713801460267614e-10,1.045422810571304e-10,7.548193692084901e-12,0.028616993978696804,5.2674364215815816e-05,3.077963248911952e-12,2.1846897813134673e-15,1.9462608521159343e-08,0.45385557741696286,0.00029000966544779326,0.5452658895152159,6.838042866893635e-05,0.0005184563411432598,6.801819135799681e-11,3.1753490941142733e-07,4.1868504999473763e-10,6.152047932764024e-10,1.6001880667689562e-10,1.3662202562450116e-06,5.796061973221706e-10,9.375559705218285e-14,2.764816162915386e-15,1.0357637929955426e-09,0.7148255993523523,0.0003802243013876053,0.2846288252770934,2.067468367339076e-06,0.00016323256298066225,9.344111172256438e-13,1.6939542075029366e-08,2.0356973830069043e-10,9.308364028268304e-11,2.8463917006725484e-13,1.589615431024978e-08,1.7883631238037045e-08,1.0452433993470622e-13,1.5781337753253734e-15,2.0512176630176067e-11,0.3189614745028825,0.0008302230754058575,0.6766046618277033,0.0013439776342538826,0.0022452067252925387,5.743644327777724e-10,3.6929276703356175e-07,3.955454554715894e-10,8.146508383187207e-10,1.3505857283341602e-09,1.4048962064692294e-05,3.2958844357517996e-08,4.1609361039183263e-13,2.4133384319187795e-14,1.884645048645288e-09,0.3977835179843716,0.0007261299087830568,0.5987529231167932,0.00010378991299659063,0.002617236319051894,8.804672683429014e-12,4.3210835590022946e-07,6.477741062845163e-10,5.874896658015167e-10,1.0466341205977499e-10,1.594139021869882e-05,2.6112624387974296e-08,2.441802311898082e-13,1.0677532946799078e-14,1.7978173046620417e-09
7.99999974612418e-20,2.055885646244727,100000.0,0.4058263848021892,823.15,6.761885968329897e-17,0.02389999999999994,0.015899999999999942,6.761885968551398e-17,2.3451521155409514e-36,7.383336391316862e-28,0.9601999999999999,0.38659794017654564,0.048516235220213054,0.5011810984266295,0.00010925537704264444,0.03492563557646635,4.828709597043768e-08,9.842127133643531e-08,1.471380140435748e-10,1.0454228084283773e-10,7.548193755723142e-12,0.028616994424446537,5.2674365372969914e-05,3.077963336202192e-12,2.18468985729532e-15,1.9462607413807935e-08,0.4538555704687666,0.00029000966206756227,0.5452658964748689,6.838042795816383e-05,0.0005184563337260508,6.801819125729082e-11,3.1753490455025416e-07,4.1868506403695654e-10,6.152048137951035e-10,1.6001880581586303e-10,1.3662203148474975e-06,5.796062243014326e-10,9.375560139553195e-14,2.7648163002969467e-15,1.0357638261737082e-09,0.7148255951852427,0.0003802243005002974,0.28462882944576895,2.0674683618492886e-06,0.00016323256230743163,9.344111271145837e-13,1.6939541976317493e-08,2.0356974856984106e-10,9.308364492945736e-11,2.846391696325425e-13,1.589615469932854e-08,1.7883631736963843e-08,1.0452434321618137e-13,1.5781338250964004e-15,2.0512177678941848e-11,0.3189614690924164,0.0008302230666398465,0.6766046672918468,0.0013439776213686272,0.0022452066939423953,5.74364423222053e-10,3.692927607696196e-07,3.955454656632147e-10,8.146508545515963e-10,1.350585710122618e-09,1.4048961949560653e-05,3.295884429314807e-08,4.160936123529477e-13,2.4133384588885502e-14,1.8846449491518782e-09,0.39778351176252746,0.000726129900214712,0.5987529293858334,0.00010378991189197433,0.0026172362808566103,8.804672646093164e-12,4.321083491415914e-07,6.47774127800196e-10,5.874896848596727e-10,1.0466341146192123e-10,1.59413908970758e-05,2.611262559777525e-08,2.4418024274217485e-13,1.0677533461257939e-14,1.7978173605002004e-09
1.599999949224836e-19,2.055885646244727,100000.0,0.4058263848021892,823.15,1.3523771936667594e-16,0.023899999999999873,0.015899999999999873,1.3523771937110596e-16,4.690304231090899e-36,1.4766672782607165e-27,0.9601999999999999,0.3865979401779365,0.04851623521920671,0.5011810984260933,0.00010925537704408199,0.034925635577474745,4.8287095971634705e-08,9.842127133666693e-08,1.4713801404218246e-10,1.0454228084193455e-10,7.548193755673144e-12,0.028616994423591165,5.2674365370113366e-05,3.0779633359603574e-12,2.1846898570721763e-15,1.9462607409808785e-08,0.45385557048895786,0.0002900096620781522,0.5452658964546251,6.838042796254709e-05,0.0005184563337638617,6.80181912600861e-11,3.175349045643796e-07,4.1868506400096017e-10,6.152048137443314e-10,1.6001880582189584e-10,1.3662203146142043e-06,5.796062241978397e-10,9.375560137900671e-14,2.764816299790665e-15,1.0357638260527016e-09,0.7148255951976767,0.0003802243005037695,0.2846288294333242,2.0674683619130837e-06,0.00016323256231480553,9.344111271164457e-13,1.693954197661194e-08,2.0356974854095873e-10,9.308364491668252e-11,2.8463916963526305e-13,1.589615469777173e-08,1.7883631735069632e-08,1.0452434320424677e-13,1.5781338249198243e-15,2.0512177675633168e-11,0.3189614691204078,0.0008302230666925648,0.6766046672634211,0.001343977621485052,0.0022452066942064207,5.743644232858463e-10,3.6929276080202035e-07,3.9554546560188526e-10,8.14650854469831e-10,1.3505857102241026e-09,1.4048961950308102e-05,3.295884429412023e-08,4.1609361235512315e-13,2.4133384588451966e-14,1.8846449488753327e-09,0.397783511792845,0.0007261299002632852,0.5987529293551842,0.00010378991190183446,0.002617236281131727,8.80467264685438e-12,4.321083491745234e-07,6.477741277207446e-10,5.874896847842427e-10,1.0466341146918075e-10,1.5941390894849802e-05,2.6112625593891437e-08,2.4418024270591436e-13,1.0677533459677333e-14,1.7978173602213233e-09
3.199999898449672e-19,2.055885646244727,100000.0,0.4058263848021892,823.15,2.704754387406355e-16,0.023899999999999737,0.015899999999999734,2.704754387494956e-16,9.380608463284814e-36,2.9533345561890946e-27,0.9601999999999999,0.3865979401811514,0.04851623521719934,0.5011810984248236,0.0001092553770472474,0.034925635579614665,4.82870959741754e-08,9.842127133722908e-08,1.4713801403929826e-10,1.0454228084013257e-10,7.548193755585768e-12,0.028616994421516353,5.2674365363676905e-05,3.077963335431305e-12,2.1846898565881577e-15,1.9462607401712003e-08,0.45385557052990066,0.00029000966209983127,0.5452658964135745,6.838042797158198e-05,0.0005184563338412725,6.801819126583969e-11,3.175349045930228e-07,4.1868506392809973e-10,6.152048136417751e-10,1.6001880583478295e-10,1.3662203141377751e-06,5.796062239867598e-10,9.375560134524715e-14,2.7648162987584127e-15,1.0357638258056213e-09,0.7148255952228706,0.0003802243005110343,0.2846288294081074,2.0674683620444094e-06,0.00016323256233000258,9.344111271216608e-13,1.6939541977208565e-08,2.035697484823086e-10,9.308364489076296e-11,2.8463916964137017e-13,1.5896154694471678e-08,1.788363173107828e-08,1.0452434317923178e-13,1.5781338245484714e-15,2.051217766891435e-11,0.31896146917877655,0.0008302230668033831,0.6766046672041445,0.0013439776217292667,0.0022452066947577947,5.743644234193602e-10,3.692927608695834e-07,3.9554546547358e-10,8.146508542989184e-10,1.3505857104381467e-09,1.4048961951714018e-05,3.295884429582198e-08,4.1609361235612526e-13,2.4133384587380166e-14,1.8846449483146527e-09,0.3977835118557555,0.0007261299003648348,0.5987529292915853,0.00010378991192241851,0.00261723628170291,8.804672648414426e-12,4.321083492428591e-07,6.477741275568364e-10,5.874896846281009e-10,1.0466341148470544e-10,1.5941390890353528e-05,2.6112625586059906e-08,2.441802426327378e-13,1.0677533456484297e-14,1.797817359643475e-09
6.399999796899344e-19,2.0558856462447266,100000.0,0.4058263848021892,823.15,5.409508774883298e-16,0.023899999999999467,0.015899999999999463,5.409508775060498e-16,1.8761216927647028e-35,5.906669112057022e-27,0.9601999999999999,0.3865979401810705,0.04851623521721527,0.5011810984248735,0.00010925537704718217,0.03492563557958176,4.8287095974135986e-08,9.84212713372109e-08,1.4713801403930398e-10,1.0454228084012173e-10,7.548193755584057e-12,0.028616994421564686,5.267436536379417e-05,3.07796333543981e-12,2.1846898565953627e-15,1.9462607401736855e-08,0.4538555705297877,0.0002900096620999682,0.545265896413688,6.83804279715529e-05,0.0005184563338407105,6.801819126729641e-11,3.1753490459294007e-07,4.186850639283619e-10,6.152048136421198e-10,1.6001880583467514e-10,1.366220314140138e-06,5.796062239881803e-10,9.37556013455361e-14,2.7648162987688864e-15,1.0357638258072823e-09,0.7148255952227992,0.0003802243005112241,0.2846288294081789,2.06746836204347e-06,0.0001632325623298525,9.344111271237508e-13,1.6939541977206675e-08,2.0356974848244597e-10,9.308364489081895e-11,2.846391696412877e-13,1.589615469450069e-08,1.7883631731121565e-08,1.0452434317954739e-13,1.5781338245538441e-15,2.051217766894619e-11,0.31896146917841706,0.0008302230668028933,0.6766046672045107,0.001343977621727396,0.0022452066947533053,5.743644234197497e-10,3.692927608691631e-07,3.955454654744521e-10,8.146508543000068e-10,1.3505857104365707e-09,1.4048961951724853e-05,3.2958844295865115e-08,4.1609361235688585e-13,2.413338458743653e-14,1.884644948316824e-09,0.3977835118554034,0.0007261299003646872,0.5987529292919418,0.00010378991192230776,0.002617236281698392,8.804672649509365e-12,4.3210834924247156e-07,6.47774127557772e-10,5.874896846290624e-10,1.0466341148456852e-10,1.5941390890371082e-05,2.6112625586106466e-08,2.441802426333391e-13,1.0677533456517577e-14,1.7978173596479705e-09
1.2799999593798688e-18,2.0558856462447275,100000.0,0.4058263848021892,823.15,1.0819017549835039e-15,0.02389999999999893,0.015899999999998925,1.0819017550189443e-15,3.75224338563463e-35,1.1813338223811058e-26,0.9601999999999999,0.38659794018112054,0.04851623521724424,0.501181098424818,0.00010925537704716976,0.03492563557957238,4.8287095974117775e-08,9.842127133722435e-08,1.4713801403926233e-10,1.0454228084008655e-10,7.548193755584292e-12,0.028616994421550638,5.2674365363792956e-05,3.077963335441181e-12,2.184689856597363e-15,1.946260740172837e-08,0.4538555705299013,0.0002900096621004798,0.5452658964135739,6.838042797162138e-05,0.0005184563338405127,6.801819127028824e-11,3.175349045930124e-07,4.186850639283437e-10,6.152048136421289e-10,1.6001880583477794e-10,1.3662203141397451e-06,5.796062239888907e-10,9.375560134574396e-14,2.7648162987791116e-15,1.035763825807919e-09,0.7148255952228706,0.0003802243005117289,0.28462882940810685,2.067468362043388e-06,0.00016323256232977506,9.344111271284954e-13,1.6939541977207992e-08,2.0356974848221904e-10,9.308364489071761e-11,2.846391696413398e-13,1.5896154694488714e-08,1.788363173112994e-08,1.045243431797247e-13,1.5781338245573857e-15,2.051217766895171e-11,0.3189614691787714,0.0008302230668042092,0.6766046672041524,0.0013439776217285709,0.0022452066947548353,5.743644234231312e-10,3.6929276086956514e-07,3.9554546547355936e-10,8.146508542985866e-10,1.3505857104379592e-09,1.4048961951731741e-05,3.295884429589676e-08,4.1609361235750184e-13,2.4133384587485615e-14,1.884644948316439e-09,0.39778351185575117,0.0007261299003663181,0.5987529292915917,0.00010378991192247142,0.002617236281699091,8.804672651716769e-12,4.3210834924283965e-07,6.477741275571669e-10,5.874896846284185e-10,1.0466341148470092e-10,1.594139089037633e-05,2.611262558615084e-08,2.441802426340639e-13,1.06775334565621e-14,1.7978173596472792e-09
2.5599999187597377e-18,2.055885646244727,100000.0,0.4058263848021892,823.15,2.1638035099720928e-15,0.023899999999997843,0.015899999999997843,2.163803510042973e-15,7.504486771354268e-35,2.362667644742681e-26,0.9601999999999999,0.3865979401810801,0.04851623521730373,0.5011810984248094,0.00010925537704706666,0.03492563557951637,4.8287095974041363e-08,9.84212713372182e-08,1.4713801403921374e-10,1.0454228084002473e-10,7.548193755582301e-12,0.028616994421595855,5.267436536394627e-05,3.0779633354542344e-12,2.184689856609538e-15,1.9462607401749504e-08,0.453855570529906,0.0002900096621013471,0.5452658964135693,6.838042797167506e-05,0.0005184563338395082,6.80181912762203e-11,3.1753490459300127e-07,4.1868506392866495e-10,6.152048136425964e-10,1.6001880583477427e-10,1.366220314142332e-06,5.796062239917159e-10,9.375560134640349e-14,2.7648162988066283e-15,1.0357638258109614e-09,0.7148255952228728,0.0003802243005126562,0.2846288294081043,2.0674683620420377e-06,0.00016323256232947367,9.34411127137614e-13,1.6939541977207287e-08,2.0356974848209628e-10,9.30836448906558e-11,2.846391696413006e-13,1.589615469451101e-08,1.7883631731198334e-08,1.04524343180379e-13,1.5781338245692233e-15,2.0512177669001018e-11,0.3189614691787782,0.0008302230668053387,0.676604667204149,0.001343977621727696,0.002245206694751012,5.743644234281892e-10,3.6929276086955666e-07,3.9554546547349783e-10,8.146508542980927e-10,1.3505857104377608e-09,1.4048961951755709e-05,3.295884429599696e-08,4.160936123593395e-13,2.413338458762616e-14,1.8846449483187688e-09,0.39778351185575794,0.000726129900368318,0.5987529292915875,0.00010378991192254597,0.00261723628169409,8.804672656120022e-12,4.321083492428275e-07,6.477741275575776e-10,5.874896846288101e-10,1.0466341148469917e-10,1.594139089040662e-05,2.6112625586271876e-08,2.4418024263583014e-13,1.0677533456665741e-14,1.7978173596522443e-09
