z,Density,Pressure,Velocity,Temperature,H2,H2O,CO,CO2,O2,CH4,N2,Rh(100),H(100),CO(100),OH(100),O(100),CO2(100),H2O(100),tCOOH(100),cCOOH(100),HCOO(100),C(100),CH(100),CH2(100),CH3(100),OCH(100),Rh(110),H(110),CO(110),OH(110),O(110),CO2(110),H2O(110),tCOOH(110),cCOOH(110),HCOO(110),C(110),CH(110),CH2(110),CH3(110),OCH(110),Rh(111),H(111),CO(111),OH(111),O(111),CO2(111),H2O(111),tCOOH(111),cCOOH(111),HCOO(111),C(111),CH(111),CH2(111),CH3(111),OCH(111),Rh(311),H(311),CO(311),OH(311),O(311),CO2(311),H2O(311),tCOOH(311),cCOOH(311),HCOO(311),C(311),CH(311),CH2(311),CH3(311),OCH(311),Rh(331),H(331),CO(331),OH(331),O(331),CO2(331),H2O(331),tCOOH(331),cCOOH(331),HCOO(331),C(331),CH(331),CH2(331),CH3(331),OCH(331)
0.0,1.8685669030407488,100000.0,0.4465093746573842,748.15,0.0,0.023900000000000005,0.015900000000000004,0.0,0.0,0.0,0.9601999999999999,0.24702090473085653,0.05002311250093871,0.5859632389806285,0.00012420019541650742,0.029654281797917733,2.044328912896614e-08,9.367258009373014e-08,7.57010058761449e-11,4.546556518581972e-11,3.644505562467063e-12,0.08705535406687949,0.00015875666155830534,3.4974240637378643e-12,2.7265321851539144e-15,3.682203808198201e-08,0.2555806060036921,0.00021223272822791796,0.743747324726863,8.610794009198959e-05,0.0003723655679066569,1.8321634609679255e-11,2.914496590441557e-07,1.1570141339179336e-09,1.5949033483666433e-09,2.1342441414210586e-10,1.0670000372214887e-06,4.2709439643676506e-10,8.626169380951566e-14,3.786373991170007e-15,1.172635270484816e-09,0.6032565232783375,0.00046962672780489605,0.39611304279210885,2.386435095459288e-06,0.0001583493495563571,2.4919204999949517e-13,1.920514019500125e-08,7.901171300034698e-10,3.318565880405107e-10,1.79478938246735e-13,1.5225357703331432e-08,3.58289885099034e-08,1.4184497888051544e-13,2.01511531575511e-15,3.505522679588141e-11,0.159229184869667,0.0005712326351574315,0.8368445460303933,0.0018241615272304623,0.0015151724094276209,1.8249710890721274e-10,3.2343375382766484e-07,3.297238796695684e-10,7.947528603144568e-10,1.124006112273608e-09,1.5334087897688886e-05,4.0368816456694374e-08,3.8551420297605917e-13,3.0786143184134847e-14,2.205452565923973e-09,0.21705121004751773,0.000642999255633086,0.7799179274044291,0.00013749371320750765,0.002232646295959825,2.311346908475481e-12,4.048045261305568e-07,1.5165207987245817e-09,1.3625945078065145e-09,1.3074248348969826e-10,1.7278902693486925e-05,3.4413983012722115e-08,2.7220612707939927e-13,1.7726692013915452e-14,2.1493841872604276e-09
9.999999682655225e-21,1.8685669030407488,100000.0,0.4465093746573842,748.15,2.411885291920063e-18,0.023900000000000005,0.0159,2.4118852921387314e-18,7.382213257888319e-40,7.288956927815463e-29,0.9601999999999999,0.24702090986331243,0.05002311321318811,0.5859632383397617,0.0001242001995604491,0.02965428302608268,2.0443289948680904e-08,9.367258199573413e-08,7.570100683521835e-11,4.546556609666235e-11,3.644505674589751e-12,0.08705534764306784,0.00015875664880554528,3.4974237599236676e-12,2.726531930403031e-15,3.68220380875034e-08,0.2555806198844691,0.00021223274025099784,0.7437473108022553,8.610794586819213e-05,0.0003723655941074381,1.83216355496248e-11,2.914496748729504e-07,1.1570140719795076e-09,1.5949032648712825e-09,2.134244235711858e-10,1.0669998912205014e-06,4.2709433899536254e-10,8.626168340213746e-14,3.7863735444974595e-15,1.1726351971454093e-09,0.6032565309016145,0.00046962673533424456,0.39611303515642143,2.3864351491067288e-06,0.00015834935439909315,2.491920521934501e-13,1.920514043765532e-08,7.90117033889621e-10,3.3185654891794453e-10,1.7947894150780637e-13,1.5225355778836435e-08,3.582898410426133e-08,1.4184496192049893e-13,2.015115090338897e-15,3.505522169567268e-11,0.15922919570178304,0.000571232670347259,0.8368445348802596,0.0018241616690509617,0.0015151725516293882,1.8249712816393056e-10,3.234337758273618e-07,3.2972386579261147e-10,7.94752876739402e-10,1.1240061993270122e-09,1.533408748961098e-05,4.0368815120292846e-08,3.855141878468589e-13,3.07861418214156e-14,2.205452647911626e-09,0.2170512227756318,0.000642999294837064,0.7799179144592596,0.00013749372292286958,0.00223264646657334,2.3113470301784767e-12,4.0480454986855294e-07,1.5165207093932743e-09,1.36259443647625e-09,1.3074248983162577e-10,1.7278900403913277e-05,3.4413978536904466e-08,2.722060945469497e-13,1.772669002040564e-14,2.149384062458356e-09
1.999999936531045e-20,1.8685669030407488,100000.0,0.4465093746573842,748.15,4.823770582106571e-18,0.023900000000000005,0.015899999999999997,4.823770582543908e-18,1.4764426510393605e-39,1.4577913863507308e-28,0.9601999999999999,0.24702090972620297,0.05002311318271593,0.5859632383919829,0.00012420019947384476,0.029654283001979066,2.0443289933994216e-08,9.367258194412808e-08,7.570100681655096e-11,4.546556607945394e-11,3.6445056717831105e-12,0.08705534778237309,0.00015875664905099648,3.4974237651417427e-12,2.7265319343206947e-15,3.682203810173839e-08,0.2555806197944445,0.0002122327401338916,0.7437473108926361,8.610794581219143e-05,0.00037236559392266473,1.8321635542856042e-11,2.914496747702915e-07,1.157014072712425e-09,1.5949032658423975e-09,2.1342442340481917e-10,1.0669998926832798e-06,4.2709433949565156e-10,8.626168349754561e-14,3.7863735479393874e-15,1.172635198101686e-09,0.6032565308698912,0.00046962673521382754,0.3961130351883031,2.3864351486622236e-06,0.00015834935436149835,2.491920521606635e-13,1.920514043664552e-08,7.901170347940018e-10,3.318565492845322e-10,1.794789414321059e-13,1.5225355809146113e-08,3.5828984168288616e-08,1.4184496214506787e-13,2.0151150932099302e-15,3.5055221739176596e-11,0.15922919554608145,0.0005712326697562431,0.8368445350406352,0.0018241616669686597,0.0015151725496113898,1.824971278629083e-10,3.234337755111471e-07,3.297238660311022e-10,7.947528766098372e-10,1.1240061978938116e-09,1.5334087507662455e-05,4.036881516561048e-08,3.8551418823940817e-13,3.0786141849277535e-14,2.2054526481369706e-09,0.21705122259519088,0.0006429992941771039,0.7799179146427283,0.00013749372276934509,0.0022326464643439817,2.311347028589908e-12,4.048045495320292e-07,1.5165207106008672e-09,1.362594437528336e-09,1.3074248966711963e-10,1.727890041942507e-05,3.441397856113074e-08,2.7220609470762365e-13,1.772669002834771e-14,2.1493840644935885e-09
3.99999987306209e-20,1.8685669030407488,100000.0,0.4465093746573842,748.15,9.647541166243155e-18,0.023899999999999998,0.015899999999999994,9.647541167117829e-18,2.952885302699364e-39,2.915582771781771e-28,0.9601999999999999,0.2470209123419177,0.05002311358056127,0.5859632379594952,0.00012420020151207814,0.02965428360130686,2.044329032977492e-08,9.367258291589395e-08,7.570100728429213e-11,4.546556652200278e-11,3.644505728349397e-12,0.08705534460596691,0.0001587566428399573,3.4974236190934093e-12,2.7265318132540672e-15,3.6822038062676695e-08,0.2555806260133319,0.00021223274563954622,0.7437473046538929,8.610794845633447e-05,0.0003723656057057695,1.8321635966027484e-11,2.9144968186193346e-07,1.1570140439620108e-09,1.594903227137457e-09,2.134244279494617e-10,1.066999825712314e-06,4.270943133760707e-10,8.62616787503907e-14,3.786373346183475e-15,1.1726351637895708e-09,0.6032565342320189,0.0004696267388054133,0.3961130318203778,2.386435172990761e-06,0.0001583493565498713,2.4919205319962235e-13,1.9205140543664402e-08,7.901169908837509e-10,3.318565314158644e-10,1.79478943059364e-13,1.5225354892618678e-08,3.58289820864302e-08,1.4184495419735867e-13,2.0151149879185546e-15,3.5055219422826275e-11,0.15922920065897567,0.0005712326866255328,0.8368445297773276,0.001824161734039653,0.0015151726166502478,1.824971370262919e-10,3.234337858952469e-07,3.297238593620698e-10,7.947528840365881e-10,1.1240062395378998e-09,1.5334087277698394e-05,4.03688144546678e-08,3.85514180558991e-13,3.078614118037289e-14,2.2054526826645175e-09,0.21705122859529807,0.00064299931297509,0.7799179085404533,0.00013749372739710737,0.0022326465441930405,2.311347085566921e-12,4.0480456072226033e-07,1.516520668668889e-09,1.3625944037776707e-09,1.3074249288374976e-10,1.7278899391781695e-05,3.441397657077713e-08,2.722060802870841e-13,1.7726689150460454e-14,2.149384004850057e-09
7.99999974612418e-20,1.8685669030407488,100000.0,0.4465093746573842,748.15,1.9295082326338615e-17,0.023899999999999984,0.015899999999999987,1.9295082328087966e-17,5.905770603228107e-39,5.831165546556056e-28,0.9601999999999999,0.2470209097206685,0.050023113183682126,0.5859632383976079,0.00012420019946795331,0.02965428299966317,2.044328993262518e-08,9.367258194213263e-08,7.570100681577151e-11,4.5465566078585524e-11,3.644505671732789e-12,0.0870553477836294,0.00015875664905991033,3.497423765484016e-12,2.7265319347015765e-15,3.6822038114440275e-08,0.2555806197724443,0.00021223274011743655,0.7437473109147031,8.610794580373695e-05,0.0003723655938810551,1.8321635541423924e-11,2.914496747452035e-07,1.157014072919761e-09,1.5949032661203902e-09,2.13424423383704e-10,1.066999892988623e-06,4.270943396215241e-10,8.626168352100364e-14,3.786373548996052e-15,1.172635198357523e-09,0.6032565308604492,0.00046962673521076516,0.3961130351977559,2.3864351486400564e-06,0.0001583493543536338,2.491920521559838e-13,1.9205140436344927e-08,7.901170350140525e-10,3.318565493752379e-10,1.7947894142808386e-13,1.5225355811806574e-08,3.582898417487044e-08,1.4184496217242036e-13,2.0151150935808893e-15,3.505522175056809e-11,0.1592291955125089,0.0005712326696594507,0.836844535075126,0.0018241616665712116,0.0015151725491896221,1.8249712781357183e-10,3.234337754429574e-07,3.297238660805645e-10,7.947528765954499e-10,1.1240061976636337e-09,1.533408750499856e-05,4.0368815160276156e-08,3.8551418820404e-13,3.078614184757914e-14,2.2054526485346215e-09,0.21705122255636888,0.0006429992940692344,0.7799179146821494,0.00013749372274337159,0.0022326464638750916,2.3113470283204594e-12,4.048045494596255e-07,1.5165207109174148e-09,1.3625944378100928e-09,1.3074248964206321e-10,1.727890042278338e-05,3.4413978568187305e-08,2.722060947589133e-13,1.7726690031589225e-14,2.1493840650325348e-09
1.599999949224836e-19,1.8685669030407488,100000.0,0.4465093746573842,748.15,3.8590164649242856e-17,0.023899999999999966,0.015899999999999963,3.859016465274156e-17,1.181154120529846e-38,1.1662331094737794e-27,0.9601999999999999,0.24702090974520532,0.050023113188438224,0.5859632383871631,0.0001242001994841848,0.02965428300439627,2.0443289935495847e-08,9.367258195134046e-08,7.570100681911996e-11,4.5465566081715614e-11,3.644505672214432e-12,0.08705534776007534,0.0001587566490162814,3.497423764507996e-12,2.7265319339294493e-15,3.682203810802158e-08,0.2555806197943479,0.00021223274014206184,0.743747310892719,8.610794581567481e-05,0.00037236559392479676,1.832163554307684e-11,2.9144967477018076e-07,1.1570140727307545e-09,1.5949032658688227e-09,2.1342442341794986e-10,1.066999892648196e-06,4.2709433949821246e-10,8.626168349765232e-14,3.786373548086009e-15,1.1726351981163475e-09,0.6032565308686345,0.0004696267352316299,0.39611303518954144,2.386435148719507e-06,0.00015834935436231294,2.491920521630126e-13,1.9205140436605472e-08,7.901170347931656e-10,3.3185654928518636e-10,1.7947894144186582e-13,1.522535580592172e-08,3.5828984162128854e-08,1.4184496212635437e-13,2.015115092984989e-15,3.505522173969038e-11,0.1592291955489563,0.0005712326697880876,0.8368445350376135,0.001824161667042092,0.0015151725496576663,1.8249712787917819e-10,3.234337755169804e-07,3.297238660251614e-10,7.947528766209794e-10,1.124006197974064e-09,1.533408750283558e-05,4.036881515441535e-08,3.8551418814980286e-13,3.078614184346883e-14,2.205452648368513e-09,0.21705122259860996,0.0006429992942128692,0.7799179146392167,0.00013749372277702452,0.002232646464393054,2.3113470287219114e-12,4.048045495384051e-07,1.516520710614625e-09,1.3625944375442985e-09,1.3074248967727081e-10,1.727890041913011e-05,3.441397856189839e-08,2.7220609471572683e-13,1.7726690029225463e-14,2.1493840645213537e-09
3.199999898449672e-19,1.8685669030407488,100000.0,0.4465093746573842,748.15,7.718032930614236e-17,0.02389999999999993,0.015899999999999925,7.718032931313974e-17,2.3623082413610645e-38,2.332466218553505e-27,0.9601999999999999,0.247020909795093,0.050023113198043916,0.5859632383657833,0.00012420019951730506,0.02965428301407155,2.0443289941362542e-08,9.367258197005826e-08,7.570100682593057e-11,4.546556608809432e-11,3.644505673192912e-12,0.08705534771234183,0.00015875664892765645,3.4974237625208427e-12,2.7265319323539343e-15,3.68220380947132e-08,0.2555806198394558,0.0002122327401926392,0.7437473108474463,8.610794584024022e-05,0.0003723655940149443,1.832163554648066e-11,2.914496748216187e-07,1.1570140723454417e-09,1.5949032653562087e-09,2.1342442348832822e-10,1.066999891951311e-06,4.270943392456685e-10,8.626168344986595e-14,3.786373546222879e-15,1.1726351976229963e-09,0.6032565308857432,0.0004696267352744374,0.3961130351723717,2.386435148884416e-06,0.0001583493543802637,2.491920521774683e-13,1.9205140437150052e-08,7.901170343412711e-10,3.3185654910102147e-10,1.7947894147013469e-13,1.522535579393407e-08,3.5828984136171476e-08,1.4184496203249721e-13,2.0151150917711864e-15,3.5055221717429456e-11,0.15922919562419546,0.0005712326700529736,0.8368445349601773,0.0018241616680129292,0.0015151725506231501,1.8249712801410641e-10,3.2343377566978793e-07,3.2972386591137873e-10,7.947528766744607e-10,1.1240061986130453e-09,1.5334087498574676e-05,4.036881514280768e-08,3.855141880420174e-13,3.078614183527811e-14,2.2054526480293134e-09,0.21705122268570703,0.0006429992945085285,0.7799179145506939,0.0001374937228463685,0.0022326464654611505,2.3113470295483937e-12,4.048045497008412e-07,1.5165207099952041e-09,1.3625944370004351e-09,1.3074248974975083e-10,1.7278900411683242e-05,3.441397854907574e-08,2.722060946278136e-13,1.7726690024419552e-14,2.149384063472774e-09
6.399999796899344e-19,1.8685669030407488,100000.0,0.4465093746573842,748.15,1.5436065861986846e-16,0.023899999999999852,0.01589999999999985,1.543606586338632e-16,4.724616483016296e-38,4.664932436720228e-27,0.9601999999999999,0.24702090979509855,0.050023113198106574,0.5859632383658465,0.00012420019951726543,0.029654283014039808,2.044328994134358e-08,9.367258197006219e-08,7.570100682592633e-11,4.546556608809124e-11,3.6445056731950545e-12,0.08705534771224221,0.0001587566489276701,3.497423762525447e-12,2.7265319323608854e-15,3.682203809497337e-08,0.2555806198391074,0.00021223274019243688,0.7437473108477963,8.610794584009449e-05,0.0003723655940142094,1.8321635546711253e-11,2.9144967482122053e-07,1.1570140723492778e-09,1.594903265361277e-09,2.1342442348791114e-10,1.0669998919565855e-06,4.2709433924795486e-10,8.626168345030479e-14,3.786373546243561e-15,1.1726351976285544e-09,0.6032565308855736,0.00046962673527450974,0.39611303517254104,2.386435148883298e-06,0.00015834935438011405,2.4919205217784603e-13,1.920514043714459e-08,7.901170343447937e-10,3.318565491024501e-10,1.794789414700837e-13,1.522535579396448e-08,3.582898413625848e-08,1.4184496203290333e-13,2.0151150917770504e-15,3.5055221717627184e-11,0.15922919562341462,0.0005712326700508713,0.8368445349609787,0.0018241616680043189,0.0015151725506138134,1.824971280132613e-10,3.234337756682009e-07,3.2972386591258e-10,7.947528766745805e-10,1.1240061986081079e-09,1.5334087498481675e-05,4.0368815142612416e-08,3.855141880406115e-13,3.0786141835199707e-14,2.2054526480359346e-09,0.21705122268481775,0.0006429992945061915,0.7799179145515961,0.00013749372284576359,0.002232646465450492,2.311347029712086e-12,4.0480454969918145e-07,1.516520710002256e-09,1.3625944370070017e-09,1.307424897491381e-10,1.7278900411721735e-05,3.4413978549168014e-08,2.72206094628508e-13,1.7726690024466587e-14,2.149384063486823e-09
1.2799999593798688e-18,1.8685669030407488,100000.0,0.4465093746573842,748.15,3.087213172473221e-16,0.023899999999999696,0.015899999999999696,3.087213172753116e-16,9.449232966328734e-38,9.329864873057991e-27,0.9601999999999999,0.24702090979504635,0.050023113198063233,0.5859632383657785,0.00012420019951722938,0.029654283014044075,2.0443289941343663e-08,9.36725819700413e-08,7.57010068259114e-11,4.546556608807705e-11,3.6445056731915995e-12,0.08705534771240142,0.00015875664892785643,3.497423762527262e-12,2.726531932360507e-15,3.682203809472617e-08,0.25558061983944624,0.00021223274019286213,0.7437473108474564,8.610794584023519e-05,0.00037236559401458057,1.8321635547235995e-11,2.91449674821605e-07,1.157014072345553e-09,1.5949032653563444e-09,2.134244234882752e-10,1.0669998919524257e-06,4.2709433924657915e-10,8.626168345011841e-14,3.786373546238025e-15,1.172635197624397e-09,0.603256530885739,0.0004696267352748909,0.39611303517237556,2.38643514888338e-06,0.00015834935438012113,2.49192052178692e-13,1.9205140437149734e-08,7.901170343411262e-10,3.3185654910094165e-10,1.7947894147009637e-13,1.5225355793945835e-08,3.5828984136233925e-08,1.4184496203288238e-13,2.015115091777913e-15,3.5055221717468436e-11,0.15922919562417404,0.000571232670053227,0.8368445349602008,0.0018241616680119712,0.001515172550621655,1.8249712801448542e-10,3.2343377566974134e-07,3.2972386591140763e-10,7.947528766742126e-10,1.1240061986126719e-09,1.5334087498586013e-05,4.036881514286078e-08,3.855141880427546e-13,3.078614183535575e-14,2.2054526480302887e-09,0.21705122268568236,0.0006429992945091128,0.7799179145507201,0.00013749372284634735,0.0022326464654588265,2.311347030058142e-12,4.0480454970079134e-07,1.516520709995395e-09,1.3625944370005985e-09,1.3074248974970836e-10,1.7278900411699983e-05,3.441397854914423e-08,2.7220609462861245e-13,1.7726690024488265e-14,2.1493840634753817e-09
2.5599999187597377e-18,1.8685669030407488,100000.0,0.4465093746573842,748.15,6.174426345018667e-16,0.02389999999999939,0.015899999999999387,6.174426345578457e-16,1.889846593292152e-37,1.865972974578283e-26,0.9601999999999999,0.2470209097949923,0.050023113198089504,0.5859632383657672,0.00012420019951713568,0.029654283014009818,2.044328994131998e-08,9.367258197002174e-08,7.570100682588686e-11,4.546556608805516e-11,3.6445056731899985e-12,0.08705534771247433,0.00015875664892810748,3.4974237625353927e-12,2.726531932368875e-15,3.682203809473633e-08,0.2555806198394487,0.00021223274019317568,0.7437473108474539,8.610794584023675e-05,0.0003723655940141266,1.832163554824424e-11,2.914496748216041e-07,1.157014072345573e-09,1.594903265356359e-09,2.1342442348823046e-10,1.0669998919536943e-06,4.2709433924771384e-10,8.626168345044062e-14,3.786373546257657e-15,1.1726351976260774e-09,0.6032565308857396,0.0004696267352755075,0.39611303517237456,2.3864351488820562e-06,0.0001583493543799363,2.491920521803269e-13,1.9205140437149503e-08,7.90117034340782e-10,3.3185654910077373e-10,1.7947894147005376e-13,1.5225355793958782e-08,3.582898413631131e-08,1.4184496203337483e-13,2.015115091786618e-15,3.505522171751335e-11,0.15922919562417953,0.0005712326700536744,0.8368445349601974,0.0018241616680111025,0.0015151725506200792,1.824971280150417e-10,3.234337756697484e-07,3.297238659113926e-10,7.947528766738852e-10,1.124006198612431e-09,1.5334087498602733e-05,4.036881514293488e-08,3.8551418804376254e-13,3.0786141835460845e-14,2.205452648031468e-09,0.21705122268568852,0.0006429992945100165,0.7799179145507157,0.00013749372284634857,0.0022326464654561905,2.311347030738122e-12,4.048045497007975e-07,1.516520709995376e-09,1.3625944370005638e-09,1.3074248974968334e-10,1.7278900411720837e-05,3.441397854923312e-08,2.7220609462966445e-13,1.772669002457937e-14,2.1493840634783356e-09
