0.15	0.9662
0.0083	0.7734
0.0026	0.3349
0.0074	0.3854
6.103515625e-05	0.99993896484375
6.103515625e-05	0.99993896484375
3.0517578125e-05	0.99993896484375
3.0517578125e-05	0.99993896484375
3.0517578125e-05	0.99993896484375
6.103515625e-05	0.999969482421875
6.103515625e-05	0.999969482421875
6.103515625e-05	0.99993896484375
6.103515625e-05	0.99993896484375
6.103515625e-05	0.999969482421875
6.103515625e-05	0.99993896484375
6.103515625e-05	0.999969482421875
6.103515625e-05	0.99993896484375
6.103515625e-05	0.99993896484375
6.103515625e-05	0.999969482421875
6.103515625e-05	0.999969482421875
-249.99	-230.01
-240.61	-220.63
64.31	221.7
-494.02	-324.02
135.68	158.42
226.89	344.97
-319.95	-299.96
-262.52	-242.54
42.52	188.03
-575.58	-455.31
60.0	124.06
142.91	257.8
-274.96	-254.98
-246.9	-226.92
-51.75	70.08
-491.79	-329.71
104.09	134.92
133.82	232.96
-244.96	-224.98
-248.86	-228.87
1.28	164.16
-497.47	-374.6
85.87	127.58
121.88	296.1
38.48	54.98
4.85	17.52
27.78	41.62
46.11	80.91
0.4	22.81
145.97	250.41
38.48	54.98
4.85	17.52
27.78	41.62
46.11	80.91
0.4	22.81
145.97	250.41
