---------------------
  #    meV     cm^-1
---------------------
  0    1.7i     14.0i
  1    5.8      46.5
  2    7.8      62.7
  3    9.7      78.6
  4   11.1      89.6
  5   11.9      96.1
  6   17.1     138.0
  7   20.2     162.6
  8   20.3     163.6
  9   22.3     179.7
 10   22.5     181.7
 11   24.6     198.5
 12   27.7     223.7
 13   32.1     259.1
 14   32.4     261.7
 15   33.1     267.2
 16   36.2     291.7
 17   37.4     301.4
 18   41.2     332.7
 19   41.7     335.9
 20   42.9     346.2
 21   43.5     350.5
 22   43.9     353.8
 23   44.2     356.6
 24   45.1     363.6
 25   45.4     366.4
 26   46.0     371.3
 27   46.3     373.3
 28   46.7     376.6
 29   47.3     381.5
 30   47.8     385.5
 31   51.0     411.6
 32   51.5     415.1
 33   56.2     453.5
 34   58.5     472.0
 35  230.8    1861.4
 36  231.3    1865.9
 37  231.9    1870.0
 38  233.0    1879.3
 39  234.6    1892.4
 40  235.6    1900.4
 41  242.0    1951.7
---------------------
Zero-point energy: 1.405 eV
