---------------------
  #    meV     cm^-1
---------------------
  0    8.9i     71.6i
  1    4.5      36.0
  2    8.1      65.5
  3   16.8     135.4
  4   19.1     154.0
  5   20.2     162.9
  6   31.9     257.4
  7   32.5     262.5
  8   32.9     265.1
  9   40.8     328.9
 10   40.9     329.9
 11   41.1     331.5
 12   41.5     335.1
 13   42.0     338.9
 14   42.3     340.9
 15  228.7    1844.5
 16  228.8    1845.5
 17  232.5    1875.4
---------------------
Zero-point energy: 0.552 eV
